serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
68,Alipurduar,Alipurduar-I,Ghagra (P),POND OF KRISHNA ROY,26.505277777777778,89.51833333333333
1102,Alipurduar,Alipurduar-Ii,Uttar Majherdabri,,26.51833333333333,89.56888888888888
1685,Alipurduar,Falakata,Bhutnir Ghat,POND OF BHABESH SARKAR,26.52472222222222,89.16277777777778
66,Alipurduar,Alipurduar-Ii,Paschim Chepani,,26.498333333333335,89.64916666666667
67,Alipurduar,Alipurduar-Ii,Paschim Chepani,NA,26.4909187,89.6496927
904,Alipurduar,Alipurduar-Ii,Samuktola (Ct),TARUN BARON DAS,26.5468185,89.6779414
8,Alipurduar,Alipurduar-Ii,Samuktola (Ct),BHALE HEMBRAM ,26.5474498,89.6778264
9,Alipurduar,Alipurduar-Ii,Jaypur,SAMUAL KISKU,26.5632442,89.6518898
10,Alipurduar,Alipurduar-Ii,Jaypur,SALOMI SOREN,26.5636411,89.6521735
1005,Alipurduar,Alipurduar-Ii,Jaypur,EMANWEL MURMU,26.5636385,89.6520179
21,Alipurduar,Alipurduar-Ii,Jaypur,SANTUCH LAKARA,26.5653955,89.6520094
19,Alipurduar,Alipurduar-Ii,Jaypur,SUKRA HEMBRAM ,26.5645784,89.6530401
20,Alipurduar,Alipurduar-Ii,Jaypur,BASU MURMU,26.5662735,89.6528153
22,Alipurduar,Alipurduar-Ii,Jaypur,STIFAN MURMU,26.5654993,89.6532611
23,Alipurduar,Alipurduar-Ii,Jaypur,RATIYA KHARIYA,26.5545895,89.6416221
1003,Alipurduar,Alipurduar-Ii,Jaypur,KHAJUS LAKRA,26.5579008,89.6448201
6,Alipurduar,Alipurduar-Ii,Jaypur,LODO KHARIYA,26.551619,89.6424956
5,Alipurduar,Alipurduar-Ii,Jaypur,LEPA KHARIYA,26.5539071,89.6423531
4,Alipurduar,Alipurduar-Ii,Jaypur,BHADU ORAN,26.5550169,89.6437815
3,Alipurduar,Alipurduar-Ii,Jaypur,RAJU MINJ,26.5552451,89.6438113
11,Alipurduar,Alipurduar-Ii,Jaypur,ANIL SOREN,26.5553105,89.6438351
2,Alipurduar,Alipurduar-Ii,Jaypur,MONIKA MURMU,26.5554589,89.6439994
7,Alipurduar,Alipurduar-Ii,Jaypur,MANGOL SOREN,26.5559235,89.6441639
1,Alipurduar,Alipurduar-Ii,Jaypur,RUBEN SOREN,26.5559213,89.6441615
12,Alipurduar,Alipurduar-Ii,Jaypur,PRISHKILA DHANWAR,26.5560571,89.6441763
13,Alipurduar,Alipurduar-Ii,Jaypur,ANAND HEMBRAM ,26.5588834,89.6448943
961,Alipurduar,Alipurduar-Ii,Jaypur,VALO TIRKI,26.5588639,89.6449193
15,Alipurduar,Alipurduar-Ii,Jaypur,KAPIL KHARIYA,26.5594967,89.6469908
16,Alipurduar,Alipurduar-Ii,Jaypur,BACHAN MINJ,26.5604492,89.6468127
14,Alipurduar,Alipurduar-Ii,Jaypur,BASANTO TIRKI,26.5609813,89.6476956
25,Alipurduar,Alipurduar-Ii,Purba Jitpur,BASU ORAN,26.5697738,89.6489882
24,Alipurduar,Alipurduar-Ii,Purba Jitpur,BISA KUJUR,26.5697115,89.6497789
1254,Alipurduar,Alipurduar-Ii,Purba Jitpur,SIMON ,26.5706982,89.6517951
960,Alipurduar,Alipurduar-Ii,Jaypur,KARU,26.5618254,89.649735
26,Alipurduar,Alipurduar-Ii,Jaypur,HASDA,26.561588,89.6494093
959,Alipurduar,Alipurduar-Ii,Jaypur,NEAR DHANWAR,26.555936,89.6441589
1766,Alipurduar,Alipurduar-Ii,Paschim Chepani,,26.4874246,89.6711884
1970,Alipurduar,Alipurduar-Ii,Paschim Chepani,,26.4840964,89.6670734
28,Alipurduar,Alipurduar-Ii,Paschim Chepani,,26.4848215,89.6617821
30,Alipurduar,Alipurduar-Ii,Paschim Chepani,,26.4764867,89.6676633
29,Alipurduar,Alipurduar-Ii,Paschim Chepani,,26.481033,89.6660942
35,Alipurduar,Alipurduar-Ii,Purba Jitpur,CHRISTIAM,26.5738594,89.6557643
33,Alipurduar,Alipurduar-Ii,Purba Jitpur,,26.5738916,89.6553158
32,Alipurduar,Alipurduar-Ii,Purba Jitpur,CHRISTIAM ,26.5738951,89.6553325
34,Alipurduar,Alipurduar-Ii,Purba Jitpur,MANUEL,26.5735161,89.655404
1010,Alipurduar,Alipurduar-Ii,Purba Jitpur,VATA CHRISTIAM ,26.5767044,89.6580156
1008,Alipurduar,Alipurduar-Ii,Purba Jitpur,,26.5766725,89.6576157
1009,Alipurduar,Alipurduar-Ii,Purba Jitpur,EMANWEL ,26.5767665,89.6581536
31,Alipurduar,Alipurduar-Ii,Sambalpur,KORNALIUD,26.580224,89.6649883
1179,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,BHARATI DAS ,26.4782737,89.6296472
37,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,SUNIL SINGHA,26.4786265,89.6291934
1131,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,TAPAN SARKAR,26.478532,89.6278488
1181,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,TAPAN SARKAR,26.4788633,89.6275317
38,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,HORENDRA DAS,26.4753203,89.6340965
1180,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,SWAPAN BHOWMIK ,26.4752573,89.6341406
1130,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,RANU MALLIK,26.4751966,89.6341195
1176,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,BIBEK MALLIK ,26.474035,89.6342017
36,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,HIMANI DEBNATH ,26.4738623,89.6346441
1175,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,PARIMAL DEBNATH ,26.4735183,89.6340183
1125,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,SUNIL DEBNATH ,26.4734801,89.6343168
1178,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,SUNIL DEBNATH ,26.473215,89.6297333
1177,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,BIPLOB MALLIK ,26.4744891,89.6341229
40,Alipurduar,Alipurduar-Ii,Jaypur,SILAS,26.5693401,89.6468626
41,Alipurduar,Alipurduar-Ii,Purba Jitpur,,26.5724373,89.648303
39,Alipurduar,Alipurduar-Ii,Purba Jitpur,BIMAL,26.5723306,89.6500274
1006,Alipurduar,Alipurduar-Ii,Purba Jitpur,SUKHAMAY,26.5722742,89.6481676
1007,Alipurduar,Alipurduar-Ii,Purba Jitpur,SUBHASH BASUM,26.5799526,89.6512966
46,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,NARAYAN BISWAS ,26.47669,89.6340817
1124,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,PIYAL BISWAS ,26.4760166,89.6339784
43,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,SUKUMAR MAJUMDAR ,26.4732384,89.6365601
1172,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,RAKHAL BISWAS ,26.4761116,89.6332227
1174,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,DIPAK MAJUMDAR ,26.481254,89.6324599
44,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,PUTULRANI PAUL,26.481625,89.6326383
45,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,ANUP MAJUMDAR TO,26.4809107,89.6355084
1173,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,SANKAR DAS ,26.4811669,89.6362676
1171,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,BENI DAM,26.4812381,89.6363105
42,Alipurduar,Alipurduar-Ii,Dakshin Majid Khana,SANKAR SUTRADHAR ,26.4799117,89.6353233
27,Alipurduar,Alipurduar-Ii,Purba Jitpur,SOMA RAVA,26.5867541,89.6617969
903,Alipurduar,Alipurduar-Ii,Samuktola (Ct),TULI BASUMATA,26.5483239,89.675039
902,Alipurduar,Alipurduar-Ii,Samuktola (Ct),,26.5477049,89.6770963
2195,Alipurduar,Alipurduar-Ii,Samuktola (Ct),NEAR NREPEN,26.5562074,89.6702386
48,Alipurduar,Alipurduar-Ii,Samuktola (Ct),NIKUNJU,26.5420263,89.6700745
2196,Alipurduar,Alipurduar-Ii,Samuktola (Ct),LITON ,26.5425018,89.6703198
