serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
20639,Bankura,Saltora,Kharbana,NATUN BANDH,23.53694444,86.94333333
24057,Bankura,Saltora,Kharbana,PURONO PUKUR,23.53611111,86.94472222
24056,Bankura,Saltora,Kharbana,SAHEB BANDH,23.53416667,86.94388889
23548,Bankura,Gangajal Ghati,Ramkanali,GANAKGORA,23.34694444,87.14194444
23552,Bankura,Gangajal Ghati,Ramkanali,KALIGORIA,23.34944444,87.14277778
23949,Bankura,Gangajal Ghati,Ramkanali,SAJALGORA,23.34777778,87.14083333
23555,Bankura,Gangajal Ghati,Ramkanali,JORULIPUKUR,23.34805556,87.14111111
16455,Bankura,Gangajal Ghati,Ramkanali,UPORBANDH ,23.34583333,87.15138889
23558,Bankura,Gangajal Ghati,Ramkanali,NAMOBANDH ,23.34666667,87.15083333
16121,Bankura,Saltora,Kharbana,JULUNG PUKUR,23.53777778,86.94666667
8328,Bankura,Saltora,Krishnapur,NATUN BANDH,23.5375,86.96361111
893,Bankura,Saltora,Krishnapur,BORO BANDH,23.53388889,86.97027778
16513,Bankura,Gangajal Ghati,Ramkanali,GOKUL PUKUR,23.34805556,87.15111111
20661,Bankura,Gangajal Ghati,Ramkanali,NATUN PUKUR,23.34916667,87.14972222
23680,Bankura,Chhatna,Rahir,CHOTO BUNDH,23.26555556,86.83444444
23564,Bankura,Gangajal Ghati,Ramkanali,POI ER PUKUR,23.34416667,87.13972222
15550,Bankura,Chhatna,Rahir,BORO BUNDH,23.26833333,86.82638889
24052,Bankura,Gangajal Ghati,Ramkanali,SHANTI PUKUR,23.34527778,87.13833333
24053,Bankura,Gangajal Ghati,Ramkanali,SITASHAYER,23.34666667,87.14
22926,Bankura,Saltora,Pathardihi,MAJER PUKUR,23.53111111,86.97861111
25486,Bankura,Bankura-Ii,Mamurjuri,NUTAN BANDH,23.34527778,87.03333333
16388,Bankura,Bankura-Ii,Mamurjuri,BAROJORE,23.34888889,87.0275
16184,Bankura,Bankura-Ii,Mamurjuri,MAJULACHAN,23.34833333,87.02638889
16103,Bankura,Mejhia,Purunia,PAKHIR GORIA,23.55,87.16527778
10325,Bankura,Bankura-Ii,Magra,LALBANDH,23.31277778,87.02416667
25259,Bankura,Chhatna,Chamkara,,23.34555556,87.00555556
16361,Bankura,Barjora,Managram,BANDH,23.40805556,87.32277778
