serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
17269,Birbhum,Bolpur-Sriniketan,Nahina,DIGHEE PUKUR,23.61444444,87.77638889
15658,Birbhum,Bolpur-Sriniketan,Nahina,JARULI PUKUR,23.61472222,87.77861111
3843,Birbhum,Bolpur-Sriniketan,Nahina,MUCHIGORE,23.61583333,87.77888889
14187,Birbhum,Bolpur-Sriniketan,Nahina,LAW PUKUR,23.61555556,87.77916667
14186,Birbhum,Bolpur-Sriniketan,Nahina,BAMUN PUKUR,23.61388889,87.78027778
4225,Birbhum,Bolpur-Sriniketan,Nahina,TALBONA POND,23.61416667,87.78055556
3061,Birbhum,Bolpur-Sriniketan,Nahina,TENTULE PUKUR,23.6125,87.77861111
3936,Birbhum,Bolpur-Sriniketan,Nahina,DOKANI PUKUR,23.61222222,87.77916667
4224,Birbhum,Bolpur-Sriniketan,Nahina,THAKUR PUKUR,23.61,87.77777778
3536,Birbhum,Bolpur-Sriniketan,Nahina,Bhelkogore Pond,23.61388889,87.77722222
3133,Birbhum,Bolpur-Sriniketan,Nahina,BHOLA PUKUR,23.6125,87.77666667
1310,Birbhum,Bolpur-Sriniketan,Nahina,Baro Pukur,23.61277778,87.77583333
3949,Birbhum,Bolpur-Sriniketan,Nahina,NATUN PUKUR,23.61222222,87.77611111
4007,Birbhum,Bolpur-Sriniketan,Nahina,SHATTALLA PUKUR,23.61083333,87.77388889
3342,Birbhum,Bolpur-Sriniketan,Nahina,SADHU PUKUR,23.59833333,87.75722222
4206,Birbhum,Bolpur-Sriniketan,Nahina,SADHU PUKUR NEW,23.60916667,87.77444444
14185,Birbhum,Bolpur-Sriniketan,Nahina,RAJGORE PUKUR,23.61416667,87.77611111
4034,Birbhum,Bolpur-Sriniketan,Nahina,BILL PUKUR,23.615,87.77277778
4098,Birbhum,Rampurhat-Ii,Gangedda,Goli para pukur,24.0803002,87.87638889
4301,Birbhum,Bolpur-Sriniketan,Singi,ASGORE PUKUR,23.60361111,87.80222222
3030,Birbhum,Bolpur-Sriniketan,Singi,PURANDA PUKUR,23.60027778,87.8025
21017,Birbhum,Sainthia,Purpaldihi,Trishul Pukur,23.87222222,87.64166667
18838,Birbhum,Sainthia,Purpaldihi,Parul Pukur,23.87277778,87.64166667
22023,Birbhum,Sainthia,Purpaldihi,Mondal Pukur,23.87277778,87.64027778
17992,Birbhum,Sainthia,Purpaldihi,NA,23.87166667,87.64055556
19010,Birbhum,Sainthia,Purpaldihi,Juka Pukur,23.8725,87.63861111
18849,Birbhum,Sainthia,Purpaldihi,Chapa Pukur,23.87416667,87.63861111
36182,Birbhum,Sainthia,Purpaldihi,THAKUR PUKUR,23.87388889,87.63805556
4300,Birbhum,Sainthia,Rupadihi,Morol Pukur,23.8725,87.63583333
4302,Birbhum,Sainthia,Rupadihi,LA PUKUR,23.8725,87.63583333
16910,Birbhum,Sainthia,Rupadihi,GORE PUKUR,23.87222222,87.63638889
16911,Birbhum,Sainthia,Rupadihi,BARI PUKUR,23.8725,87.63638889
15081,Birbhum,Sainthia,Rupadihi,LAU PUKUR,23.8725,87.63638889
4870,Birbhum,Sainthia,Rupadihi,NA,23.87277778,87.63833333
16915,Birbhum,Sainthia,Rupadihi,BARI PUKUR,23.87277778,87.6375
16913,Birbhum,Sainthia,Rupadihi,NA,23.87277778,87.6375
16914,Birbhum,Sainthia,Rupadihi,SURI PUKUR,23.8725,87.63722222
15907,Birbhum,Rampurhat-Ii,Kaluha,SONDIGHI,24.2019348,87.85555556
21996,Birbhum,Rampurhat-Ii,Margram,Morol pukur,24.1531353,87.84138889
22730,Birbhum,Rampurhat-Ii,Margram,MIA PUKUR,24.1540673,87.84194444
35953,Birbhum,Sainthia,Baidyapur,CHARI PUKUR,23.95611111,87.62333333
22588,Birbhum,Sainthia,Baidyapur,Muchi Gore,23.95361111,87.62277778
1320,Birbhum,Sainthia,Ranipur,Bandi Pukur,23.95305556,87.62444444
18833,Birbhum,Sainthia,Baidyapur,Gode Pukur,23.95166667,87.62444444
20650,Birbhum,Sainthia,Baidyapur,Gora Pukur,23.95222222,87.62666667
21074,Birbhum,Sainthia,Baidyapur,Tal Pukur,23.95277778,87.6275
35949,Birbhum,Sainthia,Baidyapur,BANDA DIGHI,23.95222222,87.62833333
33606,Birbhum,Sainthia,Baidyapur,LA PUKUR,23.95166667,87.62888889
4981,Birbhum,Bolpur-Sriniketan,Ikshudhara,BADHATALLA PUKUR,23.60638889,87.78
22607,Birbhum,Sainthia,Baidyapur,braja mali,23.95527778,87.63138889
4269,Birbhum,Bolpur-Sriniketan,Ikshudhara,KALABONA PUKUR,23.60555556,87.78083333
4195,Birbhum,Bolpur-Sriniketan,Ikshudhara,SOURAV PUKUR,23.60555556,87.78111111
35969,Birbhum,Sainthia,Baidyapur,LAU PUKUR,23.95222222,87.63083333
35962,Birbhum,Sainthia,Baidyapur,BARO PUKUR,23.95138889,87.62777778
4274,Birbhum,Bolpur-Sriniketan,Ikshudhara,GAYLA PUKUR,23.60527778,87.78138889
15753,Birbhum,Bolpur-Sriniketan,Ikshudhara,SAR PUKUR,23.60305556,87.78194444
4986,Birbhum,Bolpur-Sriniketan,Ikshudhara,SIYE PUKUR,23.60527778,87.77555556
4866,Birbhum,Bolpur-Sriniketan,Ikshudhara,SIYE PUKUR NEW,23.60444444,87.78194444
17318,Birbhum,Bolpur-Sriniketan,Singi,BAMUN PUKUR,23.60027778,87.80333333
4100,Birbhum,Bolpur-Sriniketan,Singi,BAGHER PUKUR,23.60027778,87.80416667
14184,Birbhum,Bolpur-Sriniketan,Singi,PANJANI PUKUR,23.59694444,87.80666667
4995,Birbhum,Bolpur-Sriniketan,Singi,SHILI DIGHEE PUKUR,23.59583333,87.81
14183,Birbhum,Bolpur-Sriniketan,Singi,MAJHIGORE PUKUR,23.59416667,87.80722222
5104,Birbhum,Bolpur-Sriniketan,Singi,DAIBYAGORE,23.59388889,87.80722222
4994,Birbhum,Bolpur-Sriniketan,Singi,DAIBYAGORE NEW PUKUR,23.59361111,87.80666667
36015,Birbhum,Sainthia,Chhautara,MODAN PUKHUR ,23.93638889,87.65916667
22626,Birbhum,Sainthia,Chhautara,boro pukhur ,23.92861111,87.67027778
18854,Birbhum,Sainthia,Chhautara,lo pukhur ,23.9275,87.67027778
4996,Birbhum,Sainthia,Pariharpur,dulumara pukhur ,23.92777778,87.67111111
20955,Birbhum,Sainthia,Chhautara,JETEGORE PUKHUR ,23.92833333,87.66916667
22138,Birbhum,Sainthia,Chhautara,shurunota pukhur ,23.92833333,87.66944444
21950,Birbhum,Bolpur-Sriniketan,Gopalnagar,SHIBGORE,23.74666667,87.65527778
4326,Birbhum,Bolpur-Sriniketan,Singi,ENDO PUKUR,23.5925,87.80638889
4323,Birbhum,Bolpur-Sriniketan,Singi,BAMUN PUKUR NEW,23.5925,87.80666667
3197,Birbhum,Sainthia,Uttar Sija,Boro Bauna Pond,23.89222222,87.7
3207,Birbhum,Bolpur-Sriniketan,Singi,UTTAR DIGHEE PUKUR,23.59861111,87.80222222
13888,Birbhum,Bolpur-Sriniketan,Singi,LAW PUKUR,23.59805556,87.8025
4818,Birbhum,Bolpur-Sriniketan,Singi,SHOLAGORE PUKUR,23.59861111,87.80305556
17319,Birbhum,Bolpur-Sriniketan,Singi,DIGHEE POND,23.59777778,87.80194444
21056,Birbhum,Bolpur-Sriniketan,Raipur,NOUPALLA PUKUR,23.63055556,87.6575
32619,Birbhum,Bolpur-Sriniketan,Raipur,DANGA PUKUR,23.63055556,87.65638889
36230,Birbhum,Bolpur-Sriniketan,Bahiri,SIBTALA PUKUR,23.64694444,87.76222222
21391,Birbhum,Bolpur-Sriniketan,Bahiri,NOT KNOWN,23.64694444,87.76444444
21997,Birbhum,Bolpur-Sriniketan,Bahiri,NOT KNOWN,23.6475,87.76166667
21373,Birbhum,Bolpur-Sriniketan,Raipur,NIHAR PUKUR,23.6325,87.65527778
20718,Birbhum,Bolpur-Sriniketan,Bahiri,,23.64555556,87.765
36227,Birbhum,Bolpur-Sriniketan,Bahiri,NOT KNOWN,23.645,87.76583333
21964,Birbhum,Bolpur-Sriniketan,Raipur,KORA PUKUR,23.63111111,87.65333333
36226,Birbhum,Bolpur-Sriniketan,Bahiri,AMINPUR DURGAMANDIR,23.64416667,87.76555556
21876,Birbhum,Bolpur-Sriniketan,Raipur,DEBU DAS POND,23.62972222,87.655
21987,Birbhum,Bolpur-Sriniketan,Bahiri,MODERN CLUB PUKUR,23.64277778,87.76638889
18356,Birbhum,Bolpur-Sriniketan,Raipur,GODAMOIRA,23.62777778,87.65583333
34852,Birbhum,Bolpur-Sriniketan,Bahiri,NOT KNOWN,23.64416667,87.76666667
21907,Birbhum,Bolpur-Sriniketan,Bahiri,NA,23.64388889,87.76722222
14037,Birbhum,Bolpur-Sriniketan,Ramkantapur,DOMONPUR MASJID PUKUR,23.63694444,87.79333333
3198,Birbhum,Bolpur-Sriniketan,Singi,DENGRO PUKUR,23.59555556,87.80166667
15322,Birbhum,Bolpur-Sriniketan,Singi,JASHA PUKUR,23.59361111,87.79888889
4099,Birbhum,Bolpur-Sriniketan,Singi,Chon Pukur,23.59388889,87.79888889
21891,Birbhum,Bolpur-Sriniketan,Gopalnagar,CHUTOR PUKUR,23.74638889,87.6525
21848,Birbhum,Bolpur-Sriniketan,Bahiri,DURGA PUKUR,23.64611111,87.76666667
29421,Birbhum,Bolpur-Sriniketan,Bahiri,NA,23.64666667,87.76527778
3167,Birbhum,Bolpur-Sriniketan,Singi,BAGDIGORE PUKUR,23.59277778,87.80166667
21939,Birbhum,Bolpur-Sriniketan,Bahiri,ANADA BOOT PUKUR,23.64722222,87.76
36225,Birbhum,Bolpur-Sriniketan,Bahiri,NA,23.6475,87.75916667
4460,Birbhum,Bolpur-Sriniketan,Singi,NAPITGORE POND,23.5925,87.80305556
3252,Birbhum,Sainthia,Uttar Sija,Barasija Talbona Pond,23.89166667,87.70083333
4447,Birbhum,Bolpur-Sriniketan,Singi,SAHADOBA PUKUR,23.5925,87.80277778
29420,Birbhum,Bolpur-Sriniketan,Bahiri,NA,23.64805556,87.75305556
33873,Birbhum,Bolpur-Sriniketan,Panchshoa,KUMOR KHAL,23.63194444,87.7475
4382,Birbhum,Sainthia,Uttar Sija,Barasija Choto Bauna Pond,23.89305556,87.69833333
33872,Birbhum,Bolpur-Sriniketan,Panchshoa,KAYETPUKUR,23.62583333,87.74555556
