serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
509,Cooch Behar,Coochbehar I,Kharimala Khagrabari (Ct),GURIAHATI GRAM PANCHAYAT ,26.31888889,89.47638889
20584,Cooch Behar,Mathabhanga II,Phulbari,NEAR KARUNA KANTA PRAMANIK HOUSE ,26.49361111,89.13361111
235,Cooch Behar,Coochbehar I,Lankabar,TH  DUTTA PRIYONATH DUTTA,26.30972222,89.47722222
606,Cooch Behar,Coochbehar I,Lankabar,SUSHIL DAS ,26.30805556,89.48
672,Cooch Behar,Coochbehar I,Lankabar,TAPAN DAS ,26.30805556,89.48
12160,Cooch Behar,Cooch Behar II,Garubhasa,PRADIP DAS POND,26.33,89.49861111
548,Cooch Behar,Coochbehar I,Lankabar,KAMAL DEBNATH ,26.31083333,89.47555556
364,Cooch Behar,Coochbehar I,Lankabar,MADAN DEBNATH,26.31,89.47583333
20142,Cooch Behar,Dinhata-Ii,Kismat Dasagram,UTTAM KUMAR DEY,26.08638889,89.54194444
17788,Cooch Behar,Dinhata-Ii,Bajejama Seoraguri,NEAR MANORANJAN SARKAR HOUSE ,26.19583333,89.57694444
315,Cooch Behar,Dinhata-I,Petla,KHITISH ROY BASU,26.12472222,89.41583333
565,Cooch Behar,Dinhata-I,Petla,ERSHAD AHMED,26.13277778,89.41305556
867,Cooch Behar,Dinhata-I,Petla,ASIF SARKAR,26.13277778,89.41305556
693,Cooch Behar,Dinhata-I,Petla,SIDDIK ALI,26.12361111,89.41472222
566,Cooch Behar,Dinhata-I,Petla,ABUL HAQUE,26.12361111,89.41472222
8839,Cooch Behar,Dinhata-I,Petla,RAFIK ALI,26.12444444,89.41527778
780,Cooch Behar,Dinhata-I,Petla,AKBAR ALI,26.12444444,89.41527778
319,Cooch Behar,Dinhata-I,Petla,NIPIN BARMAN,26.13138889,89.4075
577,Cooch Behar,Dinhata-I,Petla,ARFIN SOYEL,26.13111111,89.40944444
318,Cooch Behar,Dinhata-I,Petla,ABDUL MIAH,26.12833333,89.41083333
323,Cooch Behar,Dinhata-I,Petla,SERAJUL HAQUE,26.13222222,89.41527778
11505,Cooch Behar,Mathabhanga II,Phulbari,KAMINI BARMAN ,26.48833333,89.12027778
11569,Cooch Behar,Mathabhanga II,Phulbari,NEAR PUSKAR BARMAN HOUSE ,26.48972222,89.12
11607,Cooch Behar,Mathabhanga II,Phulbari,TAPU BARMAN,26.48972222,89.12
11320,Cooch Behar,Mathabhanga II,Phulbari,NIRMAL BARMAN ,26.49111111,89.12055556
20586,Cooch Behar,Mathabhanga II,Phulbari,CHANCHAL BARMAN,26.49083333,89.12111111
11413,Cooch Behar,Mathabhanga II,Phulbari,PRAKASH BARMAN,26.49111111,89.12111111
11331,Cooch Behar,Mathabhanga II,Phulbari,CHAPAL BARMAN,26.49083333,89.12138889
11055,Cooch Behar,Mathabhanga II,Phulbari,SUJIT LASKAR,26.49111111,89.12111111
11571,Cooch Behar,Mathabhanga II,Phulbari,SHAMAL BARMAN,26.49111111,89.12083333
11674,Cooch Behar,Mathabhanga II,Phulbari,MUKUL PRAMANIK ,26.49333333,89.13416667
20585,Cooch Behar,Mathabhanga II,Phulbari,SANTOSH PRAMANIK ,26.49388889,89.12916667
11576,Cooch Behar,Mathabhanga II,Phulbari,JYOTISH PRAMANIK,26.4975,89.1275
11412,Cooch Behar,Mathabhanga II,Phulbari,NAKUL PRAMANIK ,26.49388889,89.12916667
20587,Cooch Behar,Mathabhanga II,Phulbari,HITLAR PRAMANIK,26.4975,89.1275
11088,Cooch Behar,Mathabhanga II,Phulbari,DEBASHIS PRAMANIK ,26.49388889,89.13222222
11742,Cooch Behar,Mathabhanga II,Phulbari,BALARAM MANDOL ,26.4975,89.1275
11549,Cooch Behar,Mathabhanga II,Phulbari,TANUJ KR LASKAR,26.49305556,89.11722222
11561,Cooch Behar,Mathabhanga II,Phulbari,BAPAN PRAMANIK ,26.49388889,89.12916667
20588,Cooch Behar,Mathabhanga II,Phulbari,KOUSHIK PRAMANIK ,26.49388889,89.12916667
20589,Cooch Behar,Mathabhanga II,Phulbari,BHABEN CH PRAMANIK ,26.49472222,89.13416667
8945,Cooch Behar,Sitai,Nagarsitai,NEAR OF ANANDA HOUSE,26.05944444,89.30222222
8840,Cooch Behar,Dinhata-I,Petla,LOKMAN ALI ,26.12166667,89.41138889
8842,Cooch Behar,Dinhata-I,Petla,LOKMAN ALI ,26.12166667,89.41138889
359,Cooch Behar,Dinhata-I,Petla,SAMSUL ALI,26.125,89.40222222
634,Cooch Behar,Cooch Behar II,Baneswar (Ct),SHIV TEMPLE POND OF DEBUTTAR TRUST BOARD,26.3975,89.49833333
20137,Cooch Behar,Dinhata-Ii,Madhupur,,26.16916667,89.55333333
10248,Cooch Behar,Sitai,Chamta,NELACH BARMAN,26.01916667,89.35472222
10373,Cooch Behar,Mathabhanga II,Sildanga,ANUP BARMAN ,26.36972222,89.26527778
362,Cooch Behar,Sitai,Nagarsitai,DHANANJAY GHOSH,26.06138889,89.30083333
