serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
12845,Dakshin Dinajpur,Bansihari,Rasulpur,NULL,25.40444444,88.33888889
12723,Dakshin Dinajpur,Bansihari,Rasulpur,NEAR OF RASULPUR KALI MANDIR ,25.4075,88.33833333
8885,Dakshin Dinajpur,Bansihari,Dhiltail,NEAR OF MURI FACTORY,25.40722222,88.42694444
12937,Dakshin Dinajpur,Bansihari,Rasulpur,sudhir Mahatos pond ,25.40527778,88.33722222
12247,Dakshin Dinajpur,Bansihari,Rasulpur,sukumars pond,25.40472222,88.33777778
12938,Dakshin Dinajpur,Bansihari,Rasulpur,susul pond,25.405,88.33666667
12939,Dakshin Dinajpur,Bansihari,Rasulpur,mahitlal pond,25.40472222,88.33611111
12982,Dakshin Dinajpur,Bansihari,Rasulpur,mohans pond ,25.40138889,88.33638889
7359,Dakshin Dinajpur,Bansihari,Dumnipara,BESIDE OF RASULPUR KUSHKARI ROAD ,25.39555556,88.33722222
7361,Dakshin Dinajpur,Bansihari,Dumnipara,BESIDE OF ILASHPUR DUMNIPARA ROAD ,25.39472222,88.34222222
21641,Dakshin Dinajpur,Bansihari,Bejebikair, METER FROM HAPANIA VILLAGE,25.39027778,88.43666667
1020,Dakshin Dinajpur,Bansihari,Dumnipara,BESIDE OF RASULPUR KUSHKARI ROAD ,25.39555556,88.3325
895,Dakshin Dinajpur,Bansihari,Dumnipara,BESIDE OF RASULPUR KUSHKARI ROAD ,25.3975,88.33333333
6603,Dakshin Dinajpur,Bansihari,Jotnasir,BESIDE OF ILASHPUR CHOUKAHAR ROAD ,25.39027778,88.34611111
446,Dakshin Dinajpur,Bansihari,Jotnasir,BESIDE OF ILASHPUR CHOUKAHAR ROAD ,25.38944444,88.34583333
6604,Dakshin Dinajpur,Bansihari,Jotnasir,BESIDE OF ILASHPUR CHOUKAHAR ROAD ,25.38833333,88.34722222
12963,Dakshin Dinajpur,Hili,Mahishnota,NOWAPUKUR,25.2725,88.93555556
982,Dakshin Dinajpur,Gangarampur,Keshabpur,Faner pokur,25.42222222,88.5425
12632,Dakshin Dinajpur,Gangarampur,Gachiar,ponds,25.3925,88.56833333
12873,Dakshin Dinajpur,Gangarampur,Gachiar,ponds,25.3925,88.56833333
760,Dakshin Dinajpur,Gangarampur,Keshabpur,pukur,25.42055556,88.54666667
12276,Dakshin Dinajpur,Gangarampur,Tilna,ponds,25.37166667,88.46972222
861,Dakshin Dinajpur,Gangarampur,Keshabpur,PADHA PUKUR BESIDE PRIMARY SCH,25.42027778,88.545
918,Dakshin Dinajpur,Gangarampur,Keshabpur,Sabistand pukur,25.42027778,88.545
898,Dakshin Dinajpur,Gangarampur,Keshabpur,pukur,25.42027778,88.54666667
786,Dakshin Dinajpur,Gangarampur,Keshabpur,pukur,25.42,88.54861111
791,Dakshin Dinajpur,Gangarampur,Keshabpur,pukur,25.42055556,88.54666667
976,Dakshin Dinajpur,Gangarampur,Keshabpur,pukur,25.42055556,88.54666667
811,Dakshin Dinajpur,Gangarampur,Keshabpur,NA,25.42,88.54861111
888,Dakshin Dinajpur,Gangarampur,Keshabpur,pukur,25.41916667,88.54888889
906,Dakshin Dinajpur,Kushmandi,Adyakhanda,ADDAKHANA FP SCHOOL,25.46388889,88.26666667
727,Dakshin Dinajpur,Kushmandi,Adyakhanda,BATASU SARKAR ,25.46388889,88.26638889
981,Dakshin Dinajpur,Kushmandi,Adyakhanda,ADDAKHANA FP SCHOOL ,25.46277778,88.2675
10014,Dakshin Dinajpur,Kushmandi,Adyakhanda,MASJID ,25.46166667,88.27222222
10018,Dakshin Dinajpur,Kushmandi,Adyakhanda,,25.45805556,88.26555556
720,Dakshin Dinajpur,Kushmandi,Adyakhanda,MORE,25.45694444,88.26583333
314,Dakshin Dinajpur,Kushmandi,Adyakhanda,MASJID,25.46,88.27027778
