serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
1971,Hooghly,Singur,Chak.Gobinda,madhabi hazra and other ,22.84277778,88.24333333
19334,Hooghly,Tarakeswar,Chandur,PAL PUKUR,22.89166667,87.9925
28299,Hooghly,Tarakeswar,Chandur,PAL PUKUR,22.89166667,87.9925
465,Hooghly,Singur,Chak.Gobinda,Sagar samanta pond,22.8425,88.24111111
2175,Hooghly,Singur,Chak.Gobinda,swapan adhikari pond,22.84222222,88.24055556
938,Hooghly,Chinsurah-Magrah,Fatepur,Farm Pukur,23.01416667,88.35888889
1284,Hooghly,Singur,Chak.Gobinda,Gorachand das pond,22.83916667,88.23944444
939,Hooghly,Singur,Chak.Gobinda,haradhan kamley pond,22.83944444,88.23861111
19093,Hooghly,Chanditala-I,Masat (Ct),NULL,22.74611111,88.19777778
27785,Hooghly,Goghat-Ii,Shripur,BARO PUKUR,22.89722222,87.65666667
27788,Hooghly,Goghat-Ii,Shripur,NULL,22.8975,87.6575
26590,Hooghly,Chanditala-I,Ganeshpur,SQNTRA PARA,22.71388889,88.18055556
19203,Hooghly,Goghat-Ii,Shripur,BHUTPUKUR,22.89583333,87.65722222
27789,Hooghly,Goghat-Ii,Shripur,MONDAL,22.89833333,87.65694444
27787,Hooghly,Goghat-Ii,Shripur,BOURAPUKUR,22.89777778,87.65861111
27794,Hooghly,Goghat-Ii,Shripur,THAKURPUKUR,22.90194444,87.66138889
33834,Hooghly,Goghat-Ii,Shripur,KHIRKIPUKUR,22.90166667,87.65833333
33833,Hooghly,Goghat-Ii,Shripur,KOKILPITH PUKUR,22.90166667,87.65694444
19557,Hooghly,Goghat-Ii,Shripur,NULL,22.90111111,87.65694444
27783,Hooghly,Goghat-Ii,Shripur,HATPUKUR,22.9025,87.65666667
27784,Hooghly,Goghat-Ii,Shripur,SHIMLE PUKUR,22.90388889,87.6575
16360,Hooghly,Singur,Chak.Gobinda,BHORAT CH MANNA AND OTHER ,22.84388889,88.23972222
1003,Hooghly,Chanditala-I,Jiara,JIARAH MORE,22.72527778,88.1725
1554,Hooghly,Chanditala-I,Jiara,JIARAH MORE,22.72305556,88.1725
1539,Hooghly,Singur,Chak.Gobinda,suren das and other ,22.83805556,88.23861111
11662,Hooghly,Chanditala-I,Jiara,NEAR JIAR PRIMARY SCHOOL,22.72277778,88.17305556
27782,Hooghly,Goghat-Ii,Shripur,MADDOKANER PUKUR,22.89583333,87.66027778
1798,Hooghly,Singur,Chak.Gobinda,pradip das other ,22.83805556,88.23944444
2528,Hooghly,Chanditala-I,Jiara,CHALK JIARAH,22.72277778,88.17555556
1137,Hooghly,Chanditala-I,Jiara,CHALK JIARAH,22.72305556,88.17555556
10490,Hooghly,Chanditala-I,Jiara,NEAR JIARAH FIELD,22.72361111,88.17666667
