serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
11057,Howrah,Uluberia-I,Alipukur (Ct),SANGHAT,22.459444444444443,88.10194444444444
9986,Howrah,Uluberia-I,Alipukur (Ct),,22.45861111111111,88.10222222222221
11056,Howrah,Uluberia-I,Alipukur (Ct),,22.458055555555553,88.10222222222221
24636,Howrah,Panchla,Bikihakola (Ct),PADMAPUKUR,22.558055555555555,88.15333333333334
14208,Howrah,Panchla,Bikihakola (Ct),NA,22.55777777777778,88.15361111111112
1392,Howrah,Amta-I,Anule,,22.613055555555558,88.03611111111111
13792,Howrah,Panchla,Bikihakola (Ct),,22.55777777777778,88.15361111111112
1649,Howrah,Amta-I,Sonamui,DAS PUKUR,22.53638888888889,88.00083333333333
12100,Howrah,Amta-I,Anule,PAL PUKUR,22.612222222222222,88.03694444444444
13753,Howrah,Panchla,Bikihakola (Ct),NA,22.557222222222222,88.1525
1385,Howrah,Amta-I,Sonamui,MAUR PUKUR,22.535833333333336,88.00305555555556
8216,Howrah,Amta-I,Sonamui,MAUR PUKUR,22.535833333333336,88.00305555555556
1087,Howrah,Amta-I,Sonamui,KALI MANDIR PUKUR,22.539722222222224,88
1395,Howrah,Amta-I,Sonamui,MALLA PUKUR,22.535833333333336,88.00305555555556
1469,Howrah,Amta-I,Anule,ROY PUKUR,22.611944444444447,88.03777777777778
1394,Howrah,Amta-I,Sonamui,MALLA PUKUR,22.535833333333336,88.00305555555556
12969,Howrah,Panchla,Bikihakola (Ct),Das pukur,22.556944444444444,88.15277777777779
11799,Howrah,Domjur,Amre,,22.593055555555555,88.20055555555555
542,Howrah,Domjur,Amre,TATUL PUKUR ,22.59583333333333,88.19861111111112
1167,Howrah,Domjur,Amre,,22.59638888888889,88.19777777777779
1076,Howrah,Panchla,Jaynagar (Ct),GHAT PUKUR ,22.567777777777778,88.15805555555556
213,Howrah,Domjur,Amre,,22.596944444444443,88.19777777777779
9402,Howrah,Domjur,Amre,,22.5975,88.19805555555556
16158,Howrah,Amta-I,Serajbati,POST OFFICE PUKUR ,22.579166666666666,88.0025
1081,Howrah,Panchla,Jaynagar (Ct),DAS PUKUR ,22.56888888888889,88.15694444444445
13775,Howrah,Amta-I,Serajbati,PARTA PUKUR,22.579444444444444,88.0025
1130,Howrah,Domjur,Amre,,22.593888888888888,88.19916666666667
10182,Howrah,Panchla,Jaynagar (Ct),PACHA PUKUR ,22.569166666666668,88.1575
16157,Howrah,Amta-I,Serajbati,THANA PUKUR,22.57777777777778,88.00194444444445
13801,Howrah,Amta-I,Serajbati,COAT PUKUR,22.578888888888887,88.00222222222222
11050,Howrah,Amta-I,Ranapara,POND,22.554722222222225,87.99333333333334
1126,Howrah,Amta-I,Deora (Ct),JAMA PUKUR,22.560000000000002,88.00444444444445
10920,Howrah,Amta-I,Deora (Ct),,22.56138888888889,88.00388889
1408,Howrah,Amta-I,Deora (Ct),BARO PUKUR,22.56527777777778,87.99638888888889
6705,Howrah,Amta-I,Deora (Ct),PUKUR,22.566944444444445,87.9975
1201,Howrah,Amta-I,Deora (Ct),PUKUR,22.560277777777777,88.00611111111111
24043,Howrah,Panchla,Gangadharpur (Ct),PANA PUKUR,22.590555555555554,88.15388889
13810,Howrah,Panchla,Gangadharpur (Ct),JASU PUKUR ,22.592222222222222,88.15222222222222
5592,Howrah,Udaynarayanpur,Sibanipur,ROY PUKUR,22.703888888888887,87.98138888888889
1433,Howrah,Amta-I,Balichak,,22.636944444444445,87.99111111111111
12119,Howrah,Amta-I,Balichak,,22.638333333333332,87.99027777777778
10252,Howrah,Panchla,Deulpur (Ct),PANA PUKUR ,22.597777777777775,88.16722222222222
1104,Howrah,Amta-I,Balichak,,22.638055555555557,87.98916666666666
1504,Howrah,Panchla,Deulpur (Ct),CHOTO PUKUR ,22.597777777777775,88.16722222222222
1419,Howrah,Amta-I,Balichak,PATRA PUKUR,22.63888888888889,87.98638889
1738,Howrah,Amta-I,Balichak,,22.639444444444443,87.98611111111111
1510,Howrah,Panchla,Deulpur (Ct),PANA PUKUR ,22.59861111111111,88.16805555555555
1889,Howrah,Amta-I,Balichak,,22.64,87.98694444444445
1757,Howrah,Panchla,Deulpur (Ct),KHAT PUKUR ,22.598888888888887,88.16805555555555
1754,Howrah,Amta-I,Balichak,,22.640833333333333,87.9875
13782,Howrah,Panchla,Bikihakola (Ct),chakraborty pukur,22.55527777777778,88.15333333333334
595,Howrah,Panchla,Deulpur (Ct),das pukur ,22.5975,88.16583333333334
14238,Howrah,Panchla,Bikihakola (Ct),banerjee pukur,22.55527777777778,88.15333333333334
12120,Howrah,Amta-I,Balichak,PATRA POND,22.641111111111112,87.98611111111111
1442,Howrah,Panchla,Deulpur (Ct),majher pukur,22.591666666666665,88.16444444444446
1443,Howrah,Amta-I,Balichak,,22.641111111111112,87.98611111111111
14251,Howrah,Panchla,Bikihakola (Ct),chakrabotyparar pukur,22.55611111111111,88.15305555555557
1522,Howrah,Amta-I,Balichak,,22.640277777777776,87.985
1765,Howrah,Panchla,Deulpur (Ct),makal pukur ,22.591666666666665,88.16444444444446
1208,Howrah,Amta-I,Balichak,,22.640277777777776,87.98527777777778
14281,Howrah,Panchla,Bikihakola (Ct),SK PARAR PUKUR,22.555555555555557,88.15555555555557
5700,Howrah,Amta-I,Balichak,,22.640555555555554,87.98611111111111
1117,Howrah,Amta-I,Balichak,,22.639444444444443,87.98416666666667
14338,Howrah,Panchla,Bikihakola (Ct),dasparar pukur,22.55666666666667,88.15222222222222
1776,Howrah,Amta-I,Balichak,ROY PUKUR ,22.639444444444443,87.98833333333333
10254,Howrah,Panchla,Deulpur (Ct),BHATTACHARGE PUKUR ,22.60027777777778,88.16333333333334
1485,Howrah,Panchla,Deulpur (Ct),SAN PUKUR ,22.592222222222222,88.15805555555556
1712,Howrah,Amta-I,Sonamui,SENAPATI PUKUR,22.53638888888889,88.00027777777778
12027,Howrah,Udaynarayanpur,Bhabanipur,SHIV PUKUR,22.649166666666666,87.96805555555555
1411,Howrah,Udaynarayanpur,Bhabanipur,BARO PUKUR,22.65083333333333,87.96972222222223
1491,Howrah,Amta-I,Sonamui,PARTO PUKUR,22.53638888888889,88.00388889
1093,Howrah,Panchla,Deulpur (Ct),natun pukur ,22.6,88.16194444444444
1531,Howrah,Amta-I,Balichak,PANA PUKUR,22.636944444444445,87.98583333333333
1430,Howrah,Amta-I,Balichak,,22.63611111111111,87.98583333333333
1841,Howrah,Amta-I,Sonamui,BAJAR PATA PUKUR,22.536944444444448,88.00666666666666
12118,Howrah,Amta-I,Balichak,,22.638333333333332,87.98611111111111
1094,Howrah,Panchla,Deulpur (Ct),patra pukur ,22.600555555555555,88.16083333333334
8234,Howrah,Amta-I,Sonamui,PARTA PUKUR,22.5375,88.00833333333334
14204,Howrah,Panchla,Ranihati,royparar pukur,22.56833333333333,88.15472222222223
1036,Howrah,Amta-I,Sonamui,PAL PUKUR,22.5375,88.00611111111111
1175,Howrah,Amta-I,Sonamui,PAL PUKUR,22.537222222222223,88.00722222222223
