serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
7137,Jalpaiguri,Jalpaiguri,Kharia (P) (Ct),MUNDA BASTI PRY SCHOOL,26.539166666666667,88.68611111111112
1484,Jalpaiguri,Jalpaiguri,Kharia (P) (Ct),MUNDA BASTI PRY SCHOOL ,26.53888888888889,88.68277777777779
1622,Jalpaiguri,Rajganj,Kismat Sukani,RAJGANJ BDO OFFICE PUKUR,26.566111111111113,88.52833333333334
880,Jalpaiguri,Rajganj,Kismat Sukani,PUKUR NEAR SCHOLAR ACADEMY SCHOOL,26.566666666666666,88.53111111111112
1847,Jalpaiguri,Jalpaiguri,Kharia (P) (Ct),OPPSITE OF HERO SHOW ROOM,26.53388888888889,88.69138889
8600,Jalpaiguri,Rajganj,Jugibhita,LAKHI KANTO ROY POND ,26.61888888888889,88.47055555555556
7766,Jalpaiguri,Rajganj,Jugibhita,ABANI VUYA POND ,26.61888888888889,88.46861111111112
6910,Jalpaiguri,Nagrakata,Luksan Tea Garden,LOOKSAN TG HOSPITAL,26.90138888888889,88.96805555555555
5809,Jalpaiguri,Jalpaiguri,Mandalghat,,26.47472222222222,88.70583333333333
5808,Jalpaiguri,Jalpaiguri,Mandalghat,MD ABUL HOQUE,26.474444444444444,88.70583333333333
1426,Jalpaiguri,Jalpaiguri,Mandalghat,,26.473055555555554,88.70638889
1794,Jalpaiguri,Jalpaiguri,Mandalghat,BAKUL DEY  OTHERS,26.471944444444443,88.70166666666667
6916,Jalpaiguri,Nagrakata,Luksan Tea Garden,LUKSAN TG HOSPITAL ,26.898055555555555,88.96222222222222
5975,Jalpaiguri,Jalpaiguri,Kharia (P) (Ct),,26.533611111111114,88.69694444444445
7701,Jalpaiguri,Jalpaiguri,Kharia (P) (Ct),BEHAIND OF HOLY CHILD SCHOOL,26.532777777777778,88.69555555555556
1836,Jalpaiguri,Jalpaiguri,Kharia (P) (Ct),BEHIND HOLY CHILD SCHOOL ,26.529722222222222,88.69666666666667
5978,Jalpaiguri,Jalpaiguri,Kharia (P) (Ct),OPPISITE OF LOTA DEBI MANDIR,26.533333333333335,88.68388888888889
5810,Jalpaiguri,Jalpaiguri,Mandalghat,SUKANTA KUMAR GHATAK,26.471944444444443,88.70166666666667
5814,Jalpaiguri,Jalpaiguri,Mandalghat,PRAFULL KUMAR ROY,26.46944444444444,88.70361111111112
1001,Jalpaiguri,Maynaguri,Nirendrapur,AMRIT SARKAR,26.539722222222224,88.85694444444444
1556,Jalpaiguri,Jalpaiguri,Mandalghat,,26.470555555555553,88.71055555555556
8858,Jalpaiguri,Maynaguri,Uttar Mauamari,JYOTIN SARKAR ,26.59611111111111,88.78166666666667
7651,Jalpaiguri,Rajganj,Jugibhita,MD RAHAMAN POND,26.61916666666667,88.46972222222223
8606,Jalpaiguri,Rajganj,Jugibhita,UPEN NAHA POND,26.619722222222222,88.47027777777778
1075,Jalpaiguri,Rajganj,Jugibhita,MD FARUKH POND,26.619722222222222,88.47111111111111
7652,Jalpaiguri,Rajganj,Jugibhita,SONA SARKAR POND,26.621111111111112,88.47
7653,Jalpaiguri,Rajganj,Jugibhita,NEHAR DUTTA POND,26.622222222222224,88.46972222222223
