serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
8875,Jhargram,Jambani,Bhatur,DAKUI PUKUR,22.35777777777778,86.87555555555555
6620,Jhargram,Jambani,Bhatur,PRAMANIK PUKUR,22.35888888888889,86.87722222222222
6723,Jhargram,Jambani,Chhota Ghung,KAMAL KANTA MAHATA,22.435277777777777,86.89333333333335
3741,Jhargram,Jambani,Kherya Juri,KHEREJORA BUNDH,22.488611111111112,86.84972222222221
6619,Jhargram,Jambani,Bhatur, DAKUI PUKUR,22.362222222222222,86.87416666666665
6621,Jhargram,Jambani,Bhatur,GOVT PUKUR,22.366111111111113,86.87583333333333
10100,Jhargram,Jambani,Rangametia,GANGA DHAR MAHATA PONDS,22.452222222222222,86.79444444444444
4498,Jhargram,Jambani,Bagda,CHAPA PUKUR,22.520555555555553,86.86972222222222
290,Jhargram,Jambani,Bagda,PATRA PUJUR,22.52611111111111,86.87027777777777
4491,Jhargram,Jambani,Bankber,SK SAMIR UDDIN,22.50611111111111,86.89500000000001
394,Jhargram,Jambani,Bankber,PACHU PUKUR,22.50611111111111,86.89527777777778
1349,Jhargram,Jambani,Bankber,SKGOLAM,22.504722222222224,86.89444444444445
4493,Jhargram,Jambani,Bankber,SK USMAN PUKUR,22.503888888888888,86.89527777777778
378,Jhargram,Jambani,Bankber,MALLIK PUKUR,22.503888888888888,86.89444444444445
9941,Jhargram,Jambani,Chandabila,POND OF USHA RANI MAHATA,22.492222222222225,86.80555555555556
6019,Jhargram,Jambani,Chandabila,SASHANKA MAHATA AND OTHERS,22.491944444444446,86.80611111111111
5866,Jhargram,Jambani,Chandabila,POND OF SANTA MAHATA,22.49277777777778,86.80555555555556
401,Jhargram,Binpur-Ii,Kalparashi,BAIDYANATH SAREN ,22.623333333333335,86.84861111111111
4072,Jhargram,Binpur-Ii,Bhaluk Khulia,BHUTARAM HEMBRAM ,22.63,86.87777777777777
1961,Jhargram,Jambani,Tumkiasol,SK RAMJAN ALI PUKUR,22.502777777777776,86.86888888888888
303,Jhargram,Jambani,Baghghari,MANTU MAHATO PUKUR,22.50111111111111,86.88361111111112
4475,Jhargram,Jambani,Khat Gerya,BHOLANATH POND,22.470277777777778,86.85666666666665
3888,Jhargram,Jambani,Khat Gerya,KHATGERIA BORO BUNDH,22.470555555555553,86.85499999999999
3891,Jhargram,Jambani,Khat Gerya,KAJAL SABAR POND,22.469166666666666,86.85972222222222
4476,Jhargram,Jambani,Khat Gerya,BHOLANATH POND,22.46833333333333,86.85638888888889
413,Jhargram,Jambani,Shalpatra,SALPATRA BUNDH,22.472777777777775,86.87222222222222
10362,Jhargram,Jambani,Chandabila, POND OF SASHADHAR BERA,22.492222222222225,86.80833333333334
6018,Jhargram,Gopiballav Pur -Ii,Deuli,DUALI PUKUR,22.278888888888886,87.03694444444444
4248,Jhargram,Jambani,Salika, LALU BAGAL ,22.482777777777777,86.83944444444444
10102,Jhargram,Jambani,Rangametia,KARNADHAR MAHATA PONDS ,22.453888888888887,86.79444444444444
9277,Jhargram,Binpur-Ii,Chakadoba,KADO BANDH CHAKDOBA MANDALPARA ,22.764722222222222,86.64722222222223
5732,Jhargram,Binpur-Ii,Samarbhola,HANSDA PUKUR,22.621111111111112,86.85388888888889
6021,Jhargram,Binpur-Ii,Samarbhola,BADAL SABAR,22.621111111111112,86.85527777777777
6025,Jhargram,Gopiballav Pur -Ii,Birjharia,BURIBANDH,22.284722222222225,87.02583333333334
8868,Jhargram,Gopiballav Pur -Ii,Birjharia,MOHURIPUKUR,22.284166666666668,87.02888888888889
8869,Jhargram,Gopiballav Pur -Ii,Birjharia,DIHI,22.28638888888889,87.03083333333333
7109,Jhargram,Gopiballav Pur -Ii,Birjharia,PADAPUKUR,22.285555555555558,87.03055555555555
287,Jhargram,Gopiballav Pur -Ii,Nadan Gerya Dihi,NADANGERIA PRY SCHOOL,22.285555555555558,87.02611111
3742,Jhargram,Jambani,Kherya Juri,BALAI CHANDRA MATHA POND,22.487222222222222,86.84833333333333
3735,Jhargram,Jambani,Kherya Juri,ACHINTA KAR POND,22.489166666666666,86.84861111111111
6724,Jhargram,Jambani,Chhota Ghung,TARINI SANKAR MAHATA,22.434444444444445,86.88916666666667
367,Jhargram,Binpur-Ii,Champati,DUBRAJ MANDI POND ,22.625,86.83222222222221
3737,Jhargram,Jambani,Kherya Juri,RANJIT MALLICK POND,22.48611111111111,86.85333333333332
3739,Jhargram,Jambani,Kherya Juri,,22.489444444444445,86.84944444444444
3736,Jhargram,Jambani,Kherya Juri,PUSPEN MAHATA POND,22.489166666666666,86.84805555555555
3740,Jhargram,Jambani,Kherya Juri,MANGAL MAHATA POND,22.48611111111111,86.85305555555556
5945,Jhargram,Gopiballav Pur -Ii,Saltari Jal,MARAGARIA,22.27583333333333,87.03138888888888
5956,Jhargram,Gopiballav Pur -Ii,Saltari Jal,SALTARIAPUKUR,22.27722222222222,87.03166666666667
385,Jhargram,Sankrail,Dudh Kundi,PRABIR MAHATA,22.238611111111112,87.10805555555555
6011,Jhargram,Binpur-Ii,Aulia,AULIA AULIA PATRA BANDH,22.565833333333334,86.93055555555556
8636,Jhargram,Binpur-Ii,Aulia,AULIA ROY PUKUR,22.56527777777778,86.93138888888889
8638,Jhargram,Binpur-Ii,Aulia,AULIA PATRAPARA PUKUR,22.566666666666666,86.93444444444445
