serial_no,district_name,block_tehsil_name,village_name,unique_id,water_body_name,latitude,longitude,maximum_water_spread_area
1038,Malda,Harishchandrapur-I,Bhabanipur,1/19/316/002938/312065/002,KOLON DOBA,25.440833333333334,87.90694444444445,0.3
3414,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/015,HANNAN ALI SARKAR,25.491111111111113,87.98333333333333,0.25
553,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/016,SAJIM POND,25.490833333333335,87.98361111111112,0.3
555,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/017,APTABUDDIN POND,25.491111111111113,87.98333333333333,0.5
997,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/018,ALAM POND,25.489722222222223,87.98388888888888,0.5
446,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/019,ALAM ALI POND,25.50111111111111,87.99111111111111,0.5
3427,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/020,SANNAN SARKAR POND,25.489166666666666,87.98166666666667,0.3
1283,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/021,MD ALI POND,25.490277777777777,87.98111111111112,0.5
8993,Malda,Chanchal-I,Pirozabad,1/19/316/002933/312162/005,SADIKUL ISLAM,25.4325,88.00694444444444,0.68
3432,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/022,ALAM ALI POND,25.490555555555556,87.98138888888889,0.5
1290,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/023,DHUYAPUKUR POND,25.490833333333335,87.98166666666667,1.5
957,Malda,Chanchal-I,Pirozabad,1/19/316/002933/312162/006,SADEKUL ISLAM NARISHA BIBI SAH,25.4325,88.00694444444444,0.25
3629,Malda,Harishchandrapur-I,Panchla,1/19/316/002938/312010/024,ANWARUL POND,25.49138888888889,87.98194444444445,0.5
6649,Malda,Chanchal-I,Pirozabad,1/19/316/002933/312162/007,SADEKUL ISLAMSAFIKUL ALAMSHAHANSHA ISLAM,25.434166666666666,88.03722222222223,0.26
