serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
23898,Murshidabad,Bhagawangola-I,Basantapur,BEEL,24.3125,88.26
28217,Murshidabad,Domkal,Bhagirathpur,SARDAR PUKUR,24.08833333333333,88.49472222222222
17886,Murshidabad,Hariharpara,Dasturpara,SENTU SK POND,24.05666666666667,88.42
17982,Murshidabad,Hariharpara,Nasipur,BIKASH SAHA POND,24.025277777777777,88.40888889
30868,Murshidabad,Hariharpara,Ramkrishnapur,ADHIR MONDAL OTHERS,24.10527777777778,88.46222222222222
752,Murshidabad,Hariharpara,Sahajadpur,TUNKE KHAN,24.016666666666666,88.48222222222222
854,Murshidabad,Hariharpara,Sahajadpur,BAPPA GHOST GANGA SINGH,24.003055555555555,88.46555555555555
17702,Murshidabad,Domkal,Bhagirathpur,KALIBARI POND,24.08972222222222,88.49722222222222
483,Murshidabad,Hariharpara,Gaznipur,JANNATUL MONDAL,24.00111111111111,88.4675
31018,Murshidabad,Berhampore,Debidaspur,NO NAME,24.14388888888889,88.22638888888889
649,Murshidabad,Hariharpara,Gaznipur,MONIRUL MULLA,24.0075,88.45388889
754,Murshidabad,Hariharpara,Choa,HARIHARPARA AMTALA ROAD,24.035,88.43611111111112
31683,Murshidabad,Khargram,Bele,KURO PUKUR,23.983611111111113,88.03722222222223
664,Murshidabad,Hariharpara,Gaznipur,ANIRUL MULLA,24.0075,88.45611111111111
583,Murshidabad,Hariharpara,Choa,ABHISEKH MALLICK BISWAS,24.032777777777778,88.43916666666667
17328,Murshidabad,Berhampore,Debidaspur, PUKUR,24.144166666666667,88.22500000000001
993,Murshidabad,Berhampore,Pakuria,PUKUR,24.083055555555557,88.27777777777777
815,Murshidabad,Hariharpara,Gaznipur,UMAR SK,24.004166666666666,88.45444444444445
17668,Murshidabad,Berhampore,Bahara,BARP PUKUR,24.13361111111111,88.22222222222223
498,Murshidabad,Berhampore,Goaljan (Ct),A,24.1175,88.24361111111111
501,Murshidabad,Berhampore,Goaljan (Ct),SHAMAL PUKUR,24.1175,88.24333333333334
19951,Murshidabad,Sagardighi,Ekrakhi,SALIKA,24.344166666666666,88.06083333333333
904,Murshidabad,Hariharpara,Choa,HARIHARPARA AMTALA ROAD,24.030555555555555,88.44333333333334
12835,Murshidabad,Hariharpara,Choa,PANCHU GHOSH  BISHU GHOSH,24.030555555555555,88.44111111111111
833,Murshidabad,Hariharpara,Choa,NAKHURAM MONDAL,24.024166666666666,88.42055555555557
806,Murshidabad,Hariharpara,Choa,SUBRATA MONDAL,24.023888888888887,88.41416666666667
468,Murshidabad,Hariharpara,Choa,MURTUJ ALI,24.014444444444443,88.42638889
819,Murshidabad,Hariharpara,Choa,LOJIMUDDIN,24.01361111111111,88.40944444444445
12834,Murshidabad,Hariharpara,Choa,KARIM MANDAL,24.02361111111111,88.41361111111112
556,Murshidabad,Bhagawangola-I,Paschim Rampur,MOJAHAR SK,24.28777777777778,88.25111111111111
776,Murshidabad,Bhagawangola-I,Paschim Rampur,KOWSAR MOLLA,24.288611111111113,88.25222222222222
11883,Murshidabad,Hariharpara,Char Sibnagar,,24.050555555555555,88.49972222222222
11885,Murshidabad,Hariharpara,Char Sibnagar,JHORNA BIBI,24.05,88.49805555555555
17569,Murshidabad,Hariharpara,Sripur,MADHUSUDAN GHOSH,24.004444444444445,88.43
17841,Murshidabad,Hariharpara,Sripur,AJIJUL SK,24.010555555555555,88.42138889
7814,Murshidabad,Raghunathganj-Ii,Elaspur,NASIM AKHTAR POND,24.405277777777776,88.11472222222221
17675,Murshidabad,Hariharpara,Sripur,JIBRAYAL MONDAL ,24.002777777777776,88.43361111111112
17281,Murshidabad,Hariharpara,Sripur,AJIJ MONDAL,23.983611111111113,88.43972222222223
17896,Murshidabad,Berhampore,Jadupur,,24.02861111111111,88.19527777777778
16719,Murshidabad,Raninagar-I,Molladanga,ABTAR MASTER HOUSE ,24.271666666666665,88.44444444444444
7286,Murshidabad,Berhampore,Chhota Satui,JAI HIND HALDER PUKUR,23.943333333333335,88.19055555555556
17647,Murshidabad,Hariharpara,Dasturpara,PRASANTA MANDAL,24.058333333333334,88.42750000000001
17049,Murshidabad,Hariharpara,Dasturpara,GANESH MANDAL,24.045555555555556,88.4225
17607,Murshidabad,Berhampore,Jadupur,palash pukur,24.030833333333334,88.19861111111112
17235,Murshidabad,Hariharpara,Dasturpara,HAREN MANDAL,24.065833333333334,88.42500000000001
6460,Murshidabad,Nawda,Patikabari,PATIKABARI GHAT ROAD,23.870833333333334,88.46722222222222
1005,Murshidabad,Nawda,Patikabari,NIJAJAMUDDIN MANDAL,23.865555555555556,88.46722222222222
29596,Murshidabad,Hariharpara,Dasturpara,BIMAL MANDAL,24.06388888888889,88.42472222222223
17710,Murshidabad,Berhampore,Jadupur,NA,24.03111111111111,88.19944444444445
24450,Murshidabad,Bhagawangola-I,Gobra,TAHAJUL HOQUE,24.29361111111111,88.27916666666667
17673,Murshidabad,Berhampore,Jadupur,NA,24.028888888888886,88.19555555555556
17173,Murshidabad,Hariharpara,Dasturpara,PRALHAD MONDAL,24.055833333333332,88.43027777777779
17564,Murshidabad,Berhampore,Jadupur,NA,24.029722222222222,88.19222222222223
17420,Murshidabad,Hariharpara,Dasturpara,KAHEM ALI SK,24.057222222222222,88.42083333333333
17329,Murshidabad,Hariharpara,Dasturpara,MUNSUR ALI MANDAL,24.060277777777777,88.41805555555555
17869,Murshidabad,Bhagawangola-I,Gobra,Amar Kumar Saha,24.294444444444448,88.28194444444445
17873,Murshidabad,Bhagawangola-I,Gobra,RAJESH SARKAR INDRA GHOSH,24.295,88.27944444444444
29595,Murshidabad,Hariharpara,Dasturpara,MALU SK,24.057222222222222,88.42083333333333
17392,Murshidabad,Hariharpara,Dasturpara,Golap Sk,24.060555555555556,88.41333333333334
5062,Murshidabad,Raninagar-I,Jotbalram,JOKIMUDDIN,24.302500000000002,88.45388889
5061,Murshidabad,Raninagar-I,Jotbalram,NEARBY SAMU SK SHALOW ,24.303055555555556,88.45388889
7059,Murshidabad,Lalgola,Sagia,JUMMA MASJID,24.358611111111113,88.21222222222222
2678,Murshidabad,Lalgola,Sagia,JUMMA MASJID,24.358611111111113,88.21222222222222
7060,Murshidabad,Lalgola,Sagia,JUMMA MASJID,24.3575,88.21305555555556
2679,Murshidabad,Lalgola,Sagia,NEAR PRIMARY SCHOOL ,24.35611111111111,88.21444444444445
16736,Murshidabad,Lalgola,Sagia,NEAR PRIMARY SCHOOL ,24.354166666666668,88.21583333333334
2677,Murshidabad,Lalgola,Sagia,FRONT OF POST OFFICE,24.352222222222224,88.21638888888889
639,Murshidabad,Lalgola,Sagia,NEARBY JUMMA MASJID,24.35611111111111,88.21444444444445
2684,Murshidabad,Lalgola,Sagia,NEAR PRIMARY SCHOOL ,24.35611111111111,88.21444444444445
2681,Murshidabad,Lalgola,Sagia,NEAR PRIMARY SCHOOL ,24.35611111111111,88.21444444444445
2683,Murshidabad,Lalgola,Sagia,NEAR PRIMARY SCHOOL,24.354166666666668,88.21583333333334
2682,Murshidabad,Lalgola,Sagia,BIREN DAS,24.351944444444445,88.21666666666667
31070,Murshidabad,Hariharpara,Swaruppur,AMIT KUMAR KUNDU,24.058333333333334,88.47805555555556
17917,Murshidabad,Hariharpara,Swaruppur,AMIT KUMAR KUNDU,24.058333333333334,88.47805555555556
17648,Murshidabad,Domkal,Bhagirathpur,Hatibari pond,24.090277777777775,88.49944444444445
