serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
10582,Nadia,Ranaghat-Ii,Ghatigachhi,NA,23.1278107,88.56638888888888
7320,Nadia,Ranaghat-Ii,Ghatigachhi,NULL,23.1279559,88.56638888888888
13427,Nadia,Ranaghat-Ii,Basta,HARITALA,23.238611111111112,88.63027777777778
11532,Nadia,Ranaghat-Ii,Basta,NULL,23.239166666666666,88.63083333333333
7336,Nadia,Ranaghat-Ii,Ghatigachhi,NULL,23.1276711,88.56694444444445
7185,Nadia,Ranaghat-Ii,Ghatigachhi,NA ,23.1277317,88.56694444444445
7166,Nadia,Ranaghat-Ii,Ghatigachhi,NULL,23.1262877,88.56638888888888
10584,Nadia,Ranaghat-Ii,Ghatigachhi,NULL,23.1264614,88.56638888888888
10583,Nadia,Ranaghat-Ii,Ghatigachhi,NA ,23.1268415,88.56638888888888
10585,Nadia,Ranaghat-Ii,Ghatigachhi,NULL,23.1267953,88.56638888888888
7169,Nadia,Ranaghat-Ii,Ghatigachhi,NULL,23.1245537,88.57638888888889
7231,Nadia,Ranaghat-Ii,Bhat Bhanga,NULL,23.279166666666665,88.68333333333334
13208,Nadia,Ranaghat-Ii,Ghatigachhi,NA ,23.1294487,88.58277777777778
7337,Nadia,Ranaghat-Ii,Ghatigachhi,NA ,23.1259163,88.56666666666666
7187,Nadia,Ranaghat-Ii,Ghatigachhi,NA ,23.1260097,88.56666666666666
7174,Nadia,Ranaghat-Ii,Ghatigachhi,NULL,23.127414,88.56361111111111
7188,Nadia,Ranaghat-Ii,Ghatigachhi,NA ,23.1253135,88.56694444444445
7189,Nadia,Ranaghat-Ii,Ghatigachhi,NULL,23.1252669,88.56694444444445
7186,Nadia,Ranaghat-Ii,Ghatigachhi,NA ,23.1258084,88.5675
7338,Nadia,Ranaghat-Ii,Ghatigachhi,NA ,23.1258323,88.5675
4883,Nadia,Ranaghat-Ii,Panchbaria,,23.22611111111111,88.61833333333333
568,Nadia,Ranaghat-Ii,Panchbaria,GOUTAM BISWAS,23.22611111111111,88.61833333333333
7321,Nadia,Ranaghat-Ii,Baidyapur,DIGHI,23.128672,88.57916666666667
7272,Nadia,Ranaghat-Ii,Hosenpur,BASTA SCHOOL ,23.23638888888889,88.63694444444445
7319,Nadia,Ranaghat-Ii,Hosenpur,HOSENPUR SCHOOL ,23.23638888888889,88.63694444444445
8962,Nadia,Ranaghat-Ii,Baidyapur,NA ,23.1244038,88.57388888888889
7447,Nadia,Ranaghat-Ii,Hosenpur,HOSENPUR SCHOOL NEAREST ,23.23777777777778,88.64
7173,Nadia,Ranaghat-Ii,Baidyapur,NA ,23.1218735,88.57805555555555
384,Nadia,Ranaghat-Ii,Andulpota,NULL,23.183372,88.65027777777779
7172,Nadia,Ranaghat-Ii,Baidyapur,NA ,23.1234507,88.57805555555555
8964,Nadia,Ranaghat-Ii,Baidyapur,NA ,23.1234507,88.57805555555555
8965,Nadia,Ranaghat-Ii,Baidyapur,NA ,23.1227098,88.57805555555555
8963,Nadia,Ranaghat-Ii,Baidyapur,NULL,23.1237943,88.57833333333333
8966,Nadia,Ranaghat-Ii,Baidyapur,NA ,23.1241978,88.57805555555555
7326,Nadia,Ranaghat-Ii,Bhat Bhanga,,23.281944444444445,88.6675
7035,Nadia,Ranaghat-Ii,Bhat Bhanga,NULL,23.278333333333332,88.68416666666667
7233,Nadia,Ranaghat-Ii,Bhat Bhanga,NULL,23.278055555555554,88.68555555555555
7403,Nadia,Ranaghat-Ii,Bhat Bhanga,,23.2775,88.68638889
7343,Nadia,Ranaghat-Ii,Bhat Bhanga,NULL,23.284444444444446,88.67861111111111
2193,Nadia,Haringhata,Narayanpur,POND OF AMULLYA MONDAL,22.972777777777775,88.55972222222222
388,Nadia,Haringhata,Narayanpur,POND OF RASUL MONDAL,22.968888888888888,88.56388888888888
718,Nadia,Ranaghat-Ii,Maijdia,NULL,23.23611111111111,88.665
462,Nadia,Haringhata,Narayanpur,POND OF NARAYANPUR LIBRARY ,22.973888888888887,88.55916666666667
7461,Nadia,Ranaghat-Ii,Sabdalpur,UNKNOWN,23.225277777777777,88.61944444444444
11671,Nadia,Haringhata,Hari Puknaria,NULL,22.9475,88.60611111
722,Nadia,Haringhata,Narayanpur,NARESH MAJUMDER,22.974166666666665,88.56055555555555
724,Nadia,Haringhata,Narayanpur,SWAPAN NANDI MAJUMDAR ,22.973611111111108,88.56194444444444
728,Nadia,Haringhata,Narayanpur,KADER BOX MONDAL,22.97138888888889,88.56277777777777
7470,Nadia,Ranaghat-Ii,Sabdalpur,ASHIM BISWAS,23.2375,88.61638888888888
6227,Nadia,Haringhata,Narayanpur,AKUBBAR MONDAL,22.96972222222222,88.56194444444444
7472,Nadia,Haringhata,Hari Puknaria,SUBHASH SINGHA RAY,22.939166666666665,88.61111111
11007,Nadia,Haringhata,Hari Puknaria,KARTIK SINGHA RAY ,22.938333333333333,88.61222222222221
11008,Nadia,Haringhata,Hari Puknaria,SAMIR SINGH RAY,22.93777777777778,88.61194444444443
11006,Nadia,Haringhata,Hari Puknaria,SUBHASH SINGHA RAY,22.939166666666665,88.61111111
12796,Nadia,Haringhata,Hari Puknaria,ASHADUL MONDAL,22.93611111111111,88.61361111111111
7407,Nadia,Ranaghat-Ii,Hosenpur,DURGAPUR GABINDA MANDIR,23.239722222222223,88.65694444444445
12795,Nadia,Haringhata,Hari Puknaria,SUBASH LODH,22.938055555555557,88.61361111111111
11005,Nadia,Haringhata,Hari Puknaria,SADHAN GHOSH ,22.9375,88.61361111111111
11666,Nadia,Haringhata,Hari Puknaria,SHARIFUL MONDAL ,22.942222222222224,88.62694444444443
548,Nadia,Haringhata,Narayanpur,DIDARBOX MRIDHA PANA GORTHO ,22.969166666666666,88.56
523,Nadia,Haringhata,Narayanpur,JAYDEB SARKAR,22.971666666666664,88.55444444444444
524,Nadia,Haringhata,Narayanpur,CHITTA MONDAL ,22.970555555555553,88.55388888888889
2191,Nadia,Haringhata,Narayanpur,GOURANGA SARKAR ,22.973888888888887,88.55555555555556
463,Nadia,Haringhata,Narayanpur,ANOR MONDAL ,22.96972222222222,88.56222222222222
7346,Nadia,Haringhata,Hari Puknaria,HABIB MONDAL,22.935277777777777,88.6125
11664,Nadia,Haringhata,Hari Puknaria,NULL,22.935,88.6125
7196,Nadia,Haringhata,Hari Puknaria,NULL,22.935,88.6125
7347,Nadia,Haringhata,Hari Puknaria,SUJAUDDIN MONDAL,22.935,88.61277777777777
11665,Nadia,Haringhata,Hari Puknaria,JAMAL MONDAL,22.93277777777778,88.61666666666666
11662,Nadia,Haringhata,Hari Puknaria,JAMAL MONDAL,22.93277777777778,88.61638888888888
