serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
7759,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),ACHARBANDH ,23.71861111111111,87.27527777777777
7106,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),PAN PUKUR ,23.717777777777776,87.27555555555556
7753,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),PALE PUKUR ,23.723055555555554,87.2775
7107,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),INDRA GORE PUKUR ,23.722499999999997,87.27777777777777
5408,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),NUTAN GORE PUKUR,23.722499999999997,87.27888888888889
5412,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),MANIK GORE PUKUR ,23.72222222222222,87.27805555555555
7760,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),CHATTTERJEE GORE,23.72138888888889,87.27833333333334
5415,Paschim Bardhaman,Kanksa,Ijjatganj,DURGAMANDIR,23.46388888888889,87.45222222222222
7758,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),BOLAI BANDH ,23.71638888888889,87.28
7757,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),GHOSH BANDH ,23.71638888888889,87.28
5411,Paschim Bardhaman,Salanpur,Kusumdanali,BURABURI THAN,23.8175,86.90666666666667
5416,Paschim Bardhaman,Salanpur,Kusumdanali,NEAR HARI MONDIR,23.813333333333333,86.90888889
6892,Paschim Bardhaman,Salanpur,Kusumdanali,BESIDE BAROPUKUE PAR,23.8175,86.91166666666668
160,Paschim Bardhaman,Raniganj,Sahebganj (Ct),MOROL BANDH,23.585833333333333,87.11
800,Paschim Bardhaman,Raniganj,Sahebganj (Ct),,23.58972222222222,87.11277777777777
778,Paschim Bardhaman,Raniganj,Sahebganj (Ct),MAJIRHIR,23.59,87.11222222222221
174,Paschim Bardhaman,Raniganj,Sahebganj (Ct),,23.58611111111111,87.11194444444443
9254,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),METAL PUKUR ,23.72472222222222,87.27888888888889
162,Paschim Bardhaman,Barabani,Itapora,TALPUKUR TALTALA ,23.78666666666667,86.97944444444444
5100,Paschim Bardhaman,Barabani,Itapora,PAL PUKUR,23.784166666666668,86.97805555555556
5101,Paschim Bardhaman,Barabani,Itapora,GOSH PUKUR,23.78638888888889,86.97555555555556
161,Paschim Bardhaman,Barabani,Itapora,ROY PUKUR,23.78666666666667,86.97527777777778
3173,Paschim Bardhaman,Barabani,Itapora,BARDHAN PUKUR,23.786944444444448,86.97444444444444
3172,Paschim Bardhaman,Barabani,Itapora,TALPUKUR TALTALA ,23.78638888888889,86.97972222222222
29,Paschim Bardhaman,Jamuria,Taltore,BURIR PUKUR,23.738333333333333,87.07444444444444
173,Paschim Bardhaman,Jamuria,Taltore,DHARMA GORE,23.740555555555556,87.07555555555555
209,Paschim Bardhaman,Jamuria,Taltore,,23.738333333333333,87.07361111
4892,Paschim Bardhaman,Jamuria,Taltore,,23.741111111111113,87.07694444444444
4891,Paschim Bardhaman,Jamuria,Taltore,,23.741111111111113,87.07694444444444
3174,Paschim Bardhaman,Barabani,Itapora,PADDA PUKUR,23.78527777777778,86.98055555555555
175,Paschim Bardhaman,Barabani,Itapora,TALPUKUR TALTALA ,23.785555555555558,86.97777777777777
5102,Paschim Bardhaman,Barabani,Itapora,PAL PUKUR,23.785555555555558,86.9775
777,Paschim Bardhaman,Raniganj,Sahebganj (Ct),KATHERGORIA,23.593055555555555,87.115
776,Paschim Bardhaman,Raniganj,Sahebganj (Ct),PUKUR OF GURUPADA MONDAL,23.593055555555555,87.11444444444444
184,Paschim Bardhaman,Raniganj,Sahebganj (Ct),KHOLA PUKUR ,23.59111111111111,87.11833333333333
4334,Paschim Bardhaman,Raniganj,Sahebganj (Ct),BELGARIA PUKUR ,23.590833333333332,87.11638888888888
4335,Paschim Bardhaman,Raniganj,Sahebganj (Ct),PUKUR SHALKIA,23.586388888888887,87.10611111
4332,Paschim Bardhaman,Raniganj,Sahebganj (Ct),PUKU VALY HOTEL,23.58611111111111,87.10583333333332
168,Paschim Bardhaman,Raniganj,Sahebganj (Ct),PUKUR PATHARI ,23.593333333333334,87.11166666666666
205,Paschim Bardhaman,Raniganj,Sahebganj (Ct),PUKUR CHANMARI ,23.595277777777778,87.10916666666667
758,Paschim Bardhaman,Raniganj,Sahebganj (Ct),PUKUR CHANMARI ,23.59583333333333,87.10972222222222
193,Paschim Bardhaman,Raniganj,Sahebganj (Ct),PUKUR CHOUDHURY ,23.595,87.10749999999999
755,Paschim Bardhaman,Raniganj,Sahebganj (Ct),PUKUR GOREH ,23.595,87.10722222222222
4333,Paschim Bardhaman,Raniganj,Sahebganj (Ct),,23.593055555555555,87.10722222222222
7854,Paschim Bardhaman,Pandabeswar,Mahal (Ct),SOLA PUKUR ,23.704722222222223,87.28611111111111
5469,Paschim Bardhaman,Pandabeswar,Mahal (Ct),CHAPRABANDH PUKUR ,23.705277777777777,87.28999999999999
7855,Paschim Bardhaman,Pandabeswar,Mahal (Ct),ROY PUKUR ,23.703888888888887,87.28833333333333
3864,Paschim Bardhaman,Ondal,Palashban (Ct),NUTAN PUKUR,23.590277777777775,87.16027777777778
176,Paschim Bardhaman,Ondal,Mahira (Ct),NEAR HIGH SCHOOL PUKUR ,23.62027777777778,87.21833333333333
211,Paschim Bardhaman,Ondal,Mahira (Ct),SIMLA PUKUR,23.621944444444445,87.22111111111111
206,Paschim Bardhaman,Ondal,Mahira (Ct),RAMSAYA POND,23.621111111111112,87.22388889
1555,Paschim Bardhaman,Ondal,Mahira (Ct),SAYARA BANDH,23.621111111111112,87.22388889
180,Paschim Bardhaman,Ondal,Mahira (Ct),MOIRA COLLIERY PUKUR ,23.624444444444446,87.2225
178,Paschim Bardhaman,Ondal,Mahira (Ct),DOBA PUKUR,23.624166666666667,87.22083333333333
179,Paschim Bardhaman,Ondal,Mahira (Ct),MANDIR PUKUR ,23.624444444444446,87.22027777777778
208,Paschim Bardhaman,Ondal,Mahira (Ct),LAXMI PUKUR ,23.624166666666667,87.22083333333333
210,Paschim Bardhaman,Ondal,Mahira (Ct),RABNA PUKUR,23.628333333333334,87.22305555555556
2297,Paschim Bardhaman,Ondal,Mahira (Ct),,23.628333333333334,87.22277777777778
2298,Paschim Bardhaman,Ondal,Mahira (Ct),BASPUKU,23.628611111111113,87.22194444444445
207,Paschim Bardhaman,Ondal,Mahira (Ct),NEAR MINI PETROL PUMP PUKUR ,23.628333333333334,87.22305555555556
2296,Paschim Bardhaman,Ondal,Mahira (Ct),COLONY PUKUR HU,23.628055555555555,87.22361111111111
2842,Paschim Bardhaman,Ondal,Mahira (Ct),SANKRA PUKUR HU,23.62611111111111,87.22083333333333
8752,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,NATUN PUKUR BUSTAND,23.593055555555555,87.36527777777778
5375,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,DASHARATH SOU POND,23.59111111111111,87.36694444444444
7853,Paschim Bardhaman,Pandabeswar,Mahal (Ct),BABLAGORE PUKUR ,23.708333333333332,87.29111111
8074,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,GHOSH PUKUR,23.590555555555554,87.36722222222221
8075,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,BANERJEE POND,23.590555555555554,87.36722222222221
8076,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,PRABHAT BANERJEE POND ,23.590833333333332,87.36638888888888
8757,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,BANDH,23.59,87.36722222222221
5397,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,MADHUR BANDH NEAR HARI MANDIR ,23.595,87.36916666666666
6786,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,BANERJEE PUKUR NEAR BUSTAND ,23.592499999999998,87.36472222222221
8077,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,JORAN ,23.589166666666664,87.36472222222221
5424,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,MAGAL GURI POUND ,23.590555555555554,87.365
5468,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,JARULI,23.590555555555554,87.365
6794,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,BABU DER JARURI POUND ,23.59111111111111,87.36583333333333
8758,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,RAYER BANDH ,23.594444444444445,87.37166666666666
8759,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,TANTIR BANDH POUND ,23.58611111111111,87.365
8078,Paschim Bardhaman,Faridpur - Durgapur,Dhabani, BANDH ,23.588055555555556,87.365
5426,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,BANDH POUND ,23.588055555555556,87.36722222222221
5425,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,NATUN PUKUR POUND ,23.586666666666666,87.36805555555554
8751,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,PAKUR BANDH ,23.584722222222222,87.36694444444444
6921,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,PAKUR PUKUR ,23.584722222222222,87.36694444444444
5393,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,ADIBASI PUKUR POUND ,23.584166666666665,87.37111111
6793,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,KESAR GURE ,23.5775,87.37055555555555
5436,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,JANGALE PUKUR POUND ,23.58361111111111,87.37305555555555
5471,Paschim Bardhaman,Pandabeswar,Mahal (Ct),BANS PUKUR ,23.70611111111111,87.29472222222222
5438,Paschim Bardhaman,Pandabeswar,Mahal (Ct),AAMDUGALI PUKUR ,23.702222222222222,87.29944444444445
5434,Paschim Bardhaman,Pandabeswar,Mahal (Ct),MITHANI PUKUR ,23.706666666666667,87.29388888888889
7940,Paschim Bardhaman,Pandabeswar,Mahal (Ct),SHYAMALGORE PUKUR ,23.70777777777778,87.29472222222222
5470,Paschim Bardhaman,Pandabeswar,Baidyanathpur (Ct),CHETRAGORE PUKUR ,23.711111111111112,87.29527777777777
5390,Paschim Bardhaman,Pandabeswar,Mahal (Ct),CHAKCHAKI PUKUR ,23.7075,87.29277777777777
5466,Paschim Bardhaman,Pandabeswar,Mahal (Ct),KAPASI PUKUR ,23.705,87.28583333333333
7842,Paschim Bardhaman,Pandabeswar,Mahal (Ct),KODUMAH PUKUR ,23.70638888888889,87.29194444444444
5409,Paschim Bardhaman,Raniganj,Amkula (Ct),PUKUR AMRITNAGAR ,23.614722222222223,87.09416666666667
7380,Paschim Bardhaman,Raniganj,Amkula (Ct),PUKUR AMRITNAGAR COLLIERY,23.615000000000002,87.08527777777778
5456,Paschim Bardhaman,Raniganj,Amkula (Ct),PUKUR SHYAMDANGA NO,23.613055555555558,87.08166666666666
8835,Paschim Bardhaman,Raniganj,Amkula (Ct),PUKUR AMKULA VILEGE ,23.60888888888889,87.07722222222222
5428,Paschim Bardhaman,Raniganj,Amkula (Ct),PUKUR AMKULA HANUMAN MANDIR,23.606944444444444,87.08555555555554
5478,Paschim Bardhaman,Raniganj,Egara (Ct),PUKUR KANKARDANGA HANUMAN MANDIR ,23.6075,87.08416666666666
5467,Paschim Bardhaman,Raniganj,Egara (Ct),PUKUR ARJUNGORIA ,23.606944444444444,87.09166666666667
5413,Paschim Bardhaman,Raniganj,Egara (Ct),PUKUR GONJA PARA KANKARDANGA ,23.60777777777778,87.08972222222222
5481,Paschim Bardhaman,Raniganj,Egara (Ct),PUKUR KANKARDANGA ROAD SIDE,23.611666666666668,87.10111111111111
7522,Paschim Bardhaman,Pandabeswar,Shyamsundarpur,,23.65,87.25861111111111
5437,Paschim Bardhaman,Pandabeswar,Shyamsundarpur,,23.65,87.25833333333334
6624,Paschim Bardhaman,Pandabeswar,Shyamsundarpur,,23.650277777777777,87.26222222222222
9240,Paschim Bardhaman,Pandabeswar,Shyamsundarpur,,23.65222222222222,87.26333333333334
5457,Paschim Bardhaman,Pandabeswar,Shyamsundarpur,,23.648888888888887,87.26194444444444
5361,Paschim Bardhaman,Raniganj,Egara (Ct),GOALKHADAN KANKARDANGA ,23.610000000000003,87.09583333333333
5439,Paschim Bardhaman,Raniganj,Egara (Ct),PUKUR BAULHIR HANUMAN MANDIR ,23.611111111111114,87.09833333333333
5475,Paschim Bardhaman,Raniganj,Egara (Ct),PUKUR MAJI PARA OLD EGERA,23.610000000000003,87.10138888888888
9445,Paschim Bardhaman,Raniganj,Egara (Ct),NEPALI DHAWARA OLD EGERA ,23.6125,87.10527777777777
5458,Paschim Bardhaman,Raniganj,Egara (Ct),NEPALI DHAWARA O OLD EGERA ,23.612222222222222,87.10527777777777
5459,Paschim Bardhaman,Raniganj,Egara (Ct),PUKU TEWARI PARA  OLD EGERA ,23.6125,87.10583333333332
5435,Paschim Bardhaman,Raniganj,Egara (Ct),TEWARI PARA PUKUR NO OLD EGERA ,23.61277777777778,87.10638888888889
2843,Paschim Bardhaman,Ondal,Baska (Ct),BAGIRA GORA,23.56861111111111,87.17750000000001
3338,Paschim Bardhaman,Ondal,Baska (Ct),KAMALA POND,23.568055555555556,87.17638889
6740,Paschim Bardhaman,Kanksa,Banagram,BANE PUKUR ,23.595555555555553,87.465
5382,Paschim Bardhaman,Kanksa,Banagram,GHOSH,23.595,87.46333333333334
5359,Paschim Bardhaman,Kanksa,Banagram,GHOSH PUKUR ,23.59472222222222,87.46333333333334
5403,Paschim Bardhaman,Kanksa,Banagram,GHOSH BANDH POND,23.593888888888888,87.46277777777777
8418,Paschim Bardhaman,Kanksa,Banagram,GOSHAIBABA SOMITY POND,23.592777777777776,87.4625
5402,Paschim Bardhaman,Kanksa,Banagram,MURMU PUKUR,23.591666666666665,87.46194444444444
7916,Paschim Bardhaman,Kanksa,Banagram,PATRA PUKUR ,23.592777777777776,87.48722222222223
5362,Paschim Bardhaman,Kanksa,Banagram,TATI PUKUR,23.595277777777778,87.46166666666667
5396,Paschim Bardhaman,Kanksa,Kotalpukur,SHAHANI PUKUR ,23.602222222222224,87.46638888888889
8993,Paschim Bardhaman,Kanksa,Kotalpukur,MOROL DOBA,23.602500000000003,87.46638888888889
5404,Paschim Bardhaman,Kanksa,Banagram,MAA ANNAPURNA PUKUR ,23.607222222222223,87.45472222222223
5319,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,KUNDU PUKUR POUND,23.591666666666665,87.36388888888888
5473,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,PIRGORE,23.5875,87.37111111
8079,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,DHOLA DUBHA POUND ,23.58861111111111,87.37083333333332
8756,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,MASJID PUKUR POUND ,23.585833333333333,87.37166666666666
7947,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,BANERJEE PUKUR ,23.58888888888889,87.36638888888888
8080,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,GAYERA BANDH ,23.59111111111111,87.36888888888888
8755,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,BARO KUSUM GORA ,23.595277777777778,87.35916666666667
5207,Paschim Bardhaman,Faridpur - Durgapur,Dhabani,KANDUA PUKUR ,23.59638888888889,87.35888888888888
5446,Paschim Bardhaman,Kanksa,Garadaha,MORAM ROAD SIDE,23.50138888888889,87.45333333333333
6850,Paschim Bardhaman,Kanksa,Garadaha,FOREST LAND  SIDE OF LINE HOTEL ,23.50027777777778,87.455
5410,Paschim Bardhaman,Kanksa,Garadaha,NEAR SOSAN,23.50138888888889,87.44888888888889
5265,Paschim Bardhaman,Kanksa,Garadaha,YUMANA DIGHI,23.50111111111111,87.4475
9831,Paschim Bardhaman,Kanksa,Garadaha,KEN PUKUR ,23.500833333333333,87.44555555555556
9830,Paschim Bardhaman,Kanksa,Garadaha,THAKUR PUKUR,23.500555555555554,87.44500000000001
6853,Paschim Bardhaman,Kanksa,Garadaha,NAGER  BANDH,23.496944444444445,87.44416666666667
5378,Paschim Bardhaman,Kanksa,Garadaha,PABI PUKUR ,23.498055555555556,87.44305555555556
5395,Paschim Bardhaman,Kanksa,Garadaha,NEAR BANDH,23.497500000000002,87.44277777777778
5472,Paschim Bardhaman,Kanksa,Garadaha,ELECTRIC TOWER ,23.49527777777778,87.44500000000001
5240,Paschim Bardhaman,Faridpur - Durgapur,Kendula,MER GURA PUKUR POUND ,23.641944444444444,87.36722222222221
6451,Paschim Bardhaman,Faridpur - Durgapur,Kendula,THAKUR PUKUR POUND ,23.641944444444444,87.36749999999999
6450,Paschim Bardhaman,Faridpur - Durgapur,Kendula, PUKUR POUND ,23.6425,87.36777777777777
8001,Paschim Bardhaman,Faridpur - Durgapur,Kendula,RAGHU MORAL,23.643055555555556,87.36916666666666
6447,Paschim Bardhaman,Faridpur - Durgapur,Kendula,PURAN PUKUR POUND ,23.643055555555556,87.36916666666666
6449,Paschim Bardhaman,Faridpur - Durgapur,Kendula,MAHENDRA GORA ,23.641666666666666,87.36749999999999
5474,Paschim Bardhaman,Faridpur - Durgapur,Kendula,FULL SAYAR,23.641944444444444,87.36666666666666
8000,Paschim Bardhaman,Faridpur - Durgapur,Kendula,,23.64,87.36777777777777
7999,Paschim Bardhaman,Faridpur - Durgapur,Kendula,BANDH ,23.64,87.36749999999999
6446,Paschim Bardhaman,Faridpur - Durgapur,Kendula,PAY BHULI PUKUR POUND ,23.640277777777776,87.37027777777777
5477,Paschim Bardhaman,Faridpur - Durgapur,Kendula,NATUN PUKUR ,23.641388888888887,87.36555555555555
3690,Paschim Bardhaman,Faridpur - Durgapur,Katabera,BARO PUKUR SAYER,23.609444444444446,87.36888888888888
3705,Paschim Bardhaman,Faridpur - Durgapur,Katabera,TAL BONA ,23.611666666666668,87.37027777777777
3704,Paschim Bardhaman,Faridpur - Durgapur,Katabera,BOLAR BANDH ,23.6125,87.36888888888888
273,Paschim Bardhaman,Faridpur - Durgapur,Katabera,BONA PUKUR ,23.612222222222222,87.37249999999999
674,Paschim Bardhaman,Faridpur - Durgapur,Katabera,MAYERA GURE,23.61138888888889,87.37333333333332
641,Paschim Bardhaman,Faridpur - Durgapur,Katabera,CHOTO TAL BONA ,23.610833333333336,87.37027777777777
640,Paschim Bardhaman,Faridpur - Durgapur,Katabera,BARO BANDH ,23.60777777777778,87.36472222222221
639,Paschim Bardhaman,Faridpur - Durgapur,Katabera,KATHAL GURE,23.610833333333336,87.36694444444444
169,Paschim Bardhaman,Faridpur - Durgapur,Madhaiganj,GAYER PUKUR ,23.653888888888886,87.33749999999999
623,Paschim Bardhaman,Faridpur - Durgapur,Madhaiganj,PANCHPUKUR,23.645,87.34583333333333
171,Paschim Bardhaman,Faridpur - Durgapur,Madhaiganj,PANCHER PUKUR ,23.64611111111111,87.34583333333333
753,Paschim Bardhaman,Faridpur - Durgapur,Madhaiganj,PANCHER PUKUR ,23.645833333333332,87.345
