serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
48308,Paschim Medinipur,Ghatal,Katan,GANDI PUKUR,22.63888889,87.7425
27062,Paschim Medinipur,Chandrakona-I,Shrinagar,NULL,22.80305556,87.58416667
26533,Paschim Medinipur,Chandrakona-Ii,Daumabari,KAMER PUKUR ,22.73666667,87.54138889
43329,Paschim Medinipur,Chandrakona-Ii,Daumabari,VAT PUKUR  ,22.73722222,87.54
26926,Paschim Medinipur,Chandrakona-Ii,Daumabari,PANCHA DURGA  PUKUR ,22.73694444,87.53972222
26534,Paschim Medinipur,Chandrakona-Ii,Daumabari,TAMLI PUKUR ,22.74055556,87.5425
22703,Paschim Medinipur,Chandrakona-Ii,Radhanagar,GHOSH POND,22.77583333,87.54305556
47140,Paschim Medinipur,Chandrakona-Ii,Daumabari,    KACHARI PUKUR  PRIMARY SCHOOL ,22.73722222,87.54055556
22696,Paschim Medinipur,Chandrakona-Ii,Radhanagar,PAL POND,22.77611111,87.54277778
45996,Paschim Medinipur,Chandrakona-Ii,Barasat,LAITANA,22.80083333,87.54861111
2224,Paschim Medinipur,Ghatal,Kharigeria,GOBINDA GHOSH DOBA,22.64166667,87.61861111
2849,Paschim Medinipur,Chandrakona-Ii,Ramgar,RAMGARH BUNDH,22.74277778,87.49055556
49712,Paschim Medinipur,Chandrakona-Ii,Barasat,JAGAT PUKUR ,22.80083333,87.54861111
43322,Paschim Medinipur,Chandrakona-Ii,Barasat,DIGJI PUKUR,22.80083333,87.54861111
26388,Paschim Medinipur,Chandrakona-Ii,Barasat,HAT PUKUR ,22.80083333,87.54861111
49713,Paschim Medinipur,Chandrakona-Ii,Barasat,KAMAR PUKUR ,22.80083333,87.54861111
43320,Paschim Medinipur,Chandrakona-Ii,Barasat,MAIRA PUKUR,22.80194444,87.54777778
45974,Paschim Medinipur,Chandrakona-Ii,Barasat,TELI  PUKUR ,22.80222222,87.54805556
45983,Paschim Medinipur,Chandrakona-Ii,Barasat,BECHAR PUKUR ,22.80388889,87.54861111
43339,Paschim Medinipur,Chandrakona-Ii,Lalgar,LALGAR POND NEAR LALGAR MATIR SRISTI PROJECT ,22.73805556,87.48638889
16631,Paschim Medinipur,Chandrakona-I,Agra,KHANPUKUR,22.77305556,87.69694444
37451,Paschim Medinipur,Ghatal,Shibpur,CHANDAR DIGHI,22.66833333,87.70611111
46190,Paschim Medinipur,Chandrakona-Ii,Lalgar,LALGAR POND ,22.73805556,87.48138889
46182,Paschim Medinipur,Chandrakona-Ii,Lalgar,LALGARPOND UNDER MATIR SHRISTI,22.73861111,87.48527778
2180,Paschim Medinipur,Ghatal,Rathipur,RONGSAGAR ,22.67305556,87.70638889
47143,Paschim Medinipur,Chandrakona-Ii,Daumabari,BABUN PUKUR     PRIMARY SCHOOL ,22.73722222,87.54138889
47133,Paschim Medinipur,Chandrakona-Ii,Daumabari,LAGA PUKUR   KALI MANDIR ,22.73722222,87.54138889
47134,Paschim Medinipur,Chandrakona-Ii,Daumabari,BAGCHA PUKUR  KALI MANDIR ,22.735,87.54194444
26396,Paschim Medinipur,Chandrakona-Ii,Daumabari,MUCHI PUKUR SASAN CHULLI ,22.73527778,87.54194444
