serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
16267,Purba Bardhaman,Bhatar,Palar,FARM POND,23.40444444,87.91972222
639,Purba Bardhaman,Jamal Pur,Shambhupur,NEOGI POND,23.16111111,87.96583333
8333,Purba Bardhaman,Jamal Pur,Shambhupur,DEY POND,23.16222222,87.96444444
9698,Purba Bardhaman,Jamal Pur,Shambhupur,MONDAL POND,23.16166667,87.96361111
516,Purba Bardhaman,Jamal Pur,Shambhupur,MONDAL POND,23.16194444,87.96361111
8343,Purba Bardhaman,Jamal Pur,Shambhupur,ROY POND,23.16305556,87.96361111
8332,Purba Bardhaman,Jamal Pur,Shambhupur,SARKAR POND,23.16416667,87.96333333
8337,Purba Bardhaman,Jamal Pur,Shambhupur,FUL POND,23.16333333,87.96305556
617,Purba Bardhaman,Jamal Pur,Shambhupur,NEKE POND,23.16555556,87.96194444
8342,Purba Bardhaman,Jamal Pur,Shambhupur,BAMUN POND,23.16583333,87.96166667
529,Purba Bardhaman,Jamal Pur,Shambhupur,JOYDEB POND,23.16138889,87.96305556
8340,Purba Bardhaman,Memari-Ii,Dhunai,TALPUKUR,23.25277778,88.10277778
628,Purba Bardhaman,Memari-Ii,Dhunai,KOLKOLI POND,23.25277778,88.1025
18985,Purba Bardhaman,Katwa-I,Khanerhat,PATER PUKUR,23.63111111,88.08611111
22001,Purba Bardhaman,Katwa-I,Khanerhat,NATUN PUKUR,23.63111111,88.09
18986,Purba Bardhaman,Katwa-I,Khanerhat,GHUTKE PUKUR,23.63138889,88.09333333
22000,Purba Bardhaman,Katwa-I,Khanerhat,CHHIDAM DIGEE,23.63305556,88.08805556
18983,Purba Bardhaman,Katwa-I,Khanerhat,MATER PUKUR,23.63166667,88.08361111
20438,Purba Bardhaman,Raina-Ii,Painta,PAINTA NOL DIGHI,22.97638889,87.80166667
11263,Purba Bardhaman,Raina-Ii,Painta,Painta Bagan Pukur,22.975,87.80194444
14751,Purba Bardhaman,Memari-Ii,Bishkopa,KAMARGORE,23.25638889,88.12777778
11255,Purba Bardhaman,Kalna-I,Ramanandapur,KHIRKI,23.30527778,88.24972222
534,Purba Bardhaman,Memari-Ii,Dhunai,BORO HEDO,23.2525,88.10194444
7750,Purba Bardhaman,Memari-Ii,Dhunai,BAG PUKUR,23.24972222,88.1025
3046,Purba Bardhaman,Memari-Ii,Dhunai,NAO PUKUR,23.25305556,88.10138889
624,Purba Bardhaman,Memari-Ii,Dhunai,KOTALGORE,23.25111111,88.10194444
561,Purba Bardhaman,Memari-Ii,Dhunai,TATI GORE,23.25222222,88.10416667
623,Purba Bardhaman,Memari-Ii,Dhunai,HEGO GORE,23.25055556,88.10111111
11201,Purba Bardhaman,Raina-Ii,Painta,NA,22.97444444,87.80083333
11186,Purba Bardhaman,Kalna-I,Ramanandapur,KADAM GORE,23.30527778,88.24972222
10908,Purba Bardhaman,Kalna-I,Ramanandapur,NATUN PUKUR,23.30972222,88.26611111
11076,Purba Bardhaman,Kalna-I,Ramanandapur,GOYLA GORE,23.30944444,88.26472222
11193,Purba Bardhaman,Kalna-I,Ramanandapur,SUKHDHANI,23.30972222,88.26361111
11198,Purba Bardhaman,Kalna-I,Ramanandapur,TAL PUKUR,23.30972222,88.26361111
11199,Purba Bardhaman,Kalna-I,Ramanandapur,NOUKO GERE,23.29277778,88.27527778
11267,Purba Bardhaman,Kalna-I,Ramanandapur,CHAMUNDA BILL,23.29805556,88.25277778
11181,Purba Bardhaman,Kalna-I,Ramanandapur,SATPUKUR,23.30055556,88.24666667
11256,Purba Bardhaman,Kalna-I,Ramanandapur,RANI PUKUR,23.31722222,88.25777778
11268,Purba Bardhaman,Kalna-I,Ramanandapur,KAR PUKUR,23.305,88.26555556
11261,Purba Bardhaman,Kalna-I,Ramanandapur,SARKAR GORE,23.30944444,88.24611111
11200,Purba Bardhaman,Kalna-I,Ramanandapur,Tentul pukur,23.30527778,88.24972222
11037,Purba Bardhaman,Kalna-I,Ramanandapur,Dilu pukur,23.30055556,88.24472222
11257,Purba Bardhaman,Kalna-I,Ramanandapur,Patal pukur,23.30055556,88.24666667
11059,Purba Bardhaman,Kalna-I,Ramanandapur,TALPUKUR,23.30527778,88.24777778
11258,Purba Bardhaman,Kalna-I,Ramanandapur,GHOLA PUKUR,23.30055556,88.24666667
14323,Purba Bardhaman,Kalna-I,Ramanandapur,THAK PUKUR,23.30527778,88.24972222
14324,Purba Bardhaman,Kalna-I,Ramanandapur,GA PUKUR,23.30555556,88.25305556
11174,Purba Bardhaman,Kalna-I,Ramanandapur,GORALI PUKUR,23.31722222,88.25777778
14325,Purba Bardhaman,Kalna-I,Ramanandapur,DIGHI,23.30638889,88.25444444
452,Purba Bardhaman,Memari-Ii,Banshipur,DHOBA POND,23.22,88.19611111
564,Purba Bardhaman,Memari-Ii,Banshipur,MASJID POND,23.21916667,88.19638889
14753,Purba Bardhaman,Memari-Ii,Bishkopa,ANUKUL PUKUR,23.25277778,88.125
14752,Purba Bardhaman,Memari-Ii,Bishkopa,PIRUDEB POND,23.25861111,88.12916667
22259,Purba Bardhaman,Memari-Ii,Bishkopa,DUBI POND,23.25611111,88.13333333
3047,Purba Bardhaman,Memari-Ii,Dhunai,JAMGORE,23.25166667,88.1025
525,Purba Bardhaman,Memari-Ii,Dhunai,DOLER DOBA,23.25333333,88.10333333
11252,Purba Bardhaman,Memari-Ii,Bishkopa,SHYAMAL GHOSH DOBA,23.25361111,88.13055556
14750,Purba Bardhaman,Memari-Ii,Bishkopa,SRIKANTA GHOSH DOBA,23.25611111,88.12805556
22249,Purba Bardhaman,Memari-Ii,Bishkopa,CHUYO DOBA,23.25444444,88.12777778
11253,Purba Bardhaman,Memari-Ii,Bishkopa,NATUN PUKUR,23.25472222,88.12861111
10975,Purba Bardhaman,Memari-Ii,Bishkopa,GOPAL GHOSH DOBA,23.25472222,88.12777778
14749,Purba Bardhaman,Memari-Ii,Bishkopa,KHIRKI POND,23.25611111,88.13333333
14745,Purba Bardhaman,Memari-Ii,Bishkopa,BAMUN GORE,23.25416667,88.12722222
538,Purba Bardhaman,Ausgram-Ii,Khatnagar,JADU PUKUR,23.57944444,87.62944444
8334,Purba Bardhaman,Purbasthali-I,Dakshin Chandipur,DINU PAL POND,23.3975,88.29222222
7886,Purba Bardhaman,Memari-Ii,Kanpur,BURI PUKUR,23.22416667,88.115
21930,Purba Bardhaman,Katwa-I,Alampur,NATUN PUKUR,23.57333333,88.09583333
11038,Purba Bardhaman,Katwa-I,Srikhanda,BiJi pukur,23.60138889,88.07083333
11039,Purba Bardhaman,Katwa-I,Srikhanda,Sakhare pukur,23.60222222,88.07027778
11121,Purba Bardhaman,Katwa-I,Srikhanda,Isre pukur ,23.60388889,88.07277778
11254,Purba Bardhaman,Ausgram-I,Gobindapur Purbba,HARIPUKUR,23.5375,87.74388889
11187,Purba Bardhaman,Kalna II,Ara,NASI PUKUR ,23.20222222,88.37138889
629,Purba Bardhaman,Jamal Pur,Jotshriram,KHIRKEE POND,23.04083333,87.975
7472,Purba Bardhaman,Kalna II,Bazar Krishnapur,BAMUN PUKUR,23.1625,88.33277778
7885,Purba Bardhaman,Memari-Ii,Kanpur,PADMA PUKUR,23.24444444,88.11055556
10974,Purba Bardhaman,Katwa-I,Srikhanda,Khalak pukur ,23.60277778,88.07361111
11260,Purba Bardhaman,Katwa-I,Srikhanda,Dolmal pukur,23.60111111,88.07388889
11194,Purba Bardhaman,Katwa-I,Srikhanda,Baiti pukur,23.6025,88.07444444
6758,Purba Bardhaman,Katwa-I,Sahapur,MADENSHA,23.64055556,88.06972222
558,Purba Bardhaman,Katwa-I,Sahapur,DASPUKUR,23.64305556,88.07
