serial_no,district_name,block_tehsil_name,town_municipality_name,ward_name,unique_id,water_body_name,latitude,longitude,maximum_water_spread_area,max_depth_water
404,Purba Bardhaman,,Memari,Memari (M) - Ward No.1,2/19/306/250039/0067220/001,HAT PAKUR ,23.1665483,88.104765,1.8,15
4,Purba Bardhaman,,Memari,Memari (M) - Ward No.1,2/19/306/250039/0067220/002,HAT PAKUR ,23.1665483,88.104765,1.8,15
3,Purba Bardhaman,,Memari,Memari (M) - Ward No.1,2/19/306/250039/0067220/003,Dakbanglo Pakur ,23.165621,88.0910873,2.9,4
2,Purba Bardhaman,,Memari,Memari (M) - Ward No.1,2/19/306/250039/0067220/004,hat pakur ,23.1665483,88.104765,1.8,15
447,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/001,BAR PUKUR,23.2231459,87.8443033,0.7,4
700,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/001,KAMAL SAYAR,23.2577832,87.8439571,0.23,3
12,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/001,NA,23.2478331,87.8730839,1,7
13,Purba Bardhaman,,Memari,Memari (M) - Ward No.2,2/19/306/250039/0067221/001,KHANRO PAKUR,23.1657501,88.0963816,1.5,4
431,Purba Bardhaman,,Memari,Memari (M) - Ward No.2,2/19/306/250039/0067221/002,KHANRO PRIMARY SCHOOL PAKUR,23.1657501,88.0963816,1.5,4
434,Purba Bardhaman,,Memari,Memari (M) - Ward No.2,2/19/306/250039/0067221/003,KHANRO PRIMARY SCHOOL PAKUR,23.1657501,88.0963816,1.5,4
432,Purba Bardhaman,,Memari,Memari (M) - Ward No.2,2/19/306/250039/0067221/004,KHANRO PRIMARY SCHOOL PAKUR,23.1657501,88.0963816,1.5,4
675,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/002,MOTA SHIBTALA PUKUR,23.2312267,87.8446911,0.133,3
673,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/003,SHANTI PUKUR ,23.2321323,87.8419495,0.067,3
657,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/007,ADARSHAPALLY DURGAMANDAP PUKUR,23.225641,87.8513012,0.3,4
656,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/008,TAAL PUKUR,23.2246727,87.8500002,0.267,
128,Purba Bardhaman,,Katwa,Katwa (M) - Ward No.11,2/19/306/250035/0014718/001,PANUHAT BAZAR PUKUR,23.6337026,88.1422106,0.84,3.5
14,Purba Bardhaman,,Katwa,Katwa (M) - Ward No.11,2/19/306/250035/0014718/002,TALI KHOLA CHITTAR PUKUR,23.6370665,88.1402563,0.74,2
15,Purba Bardhaman,,Katwa,Katwa (M) - Ward No.18,2/19/306/250035/0014725/001,KANTA PUKUR ,23.6421153,88.1281792,0.85,3.5
16,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.9,2/19/306/250037/0014749/001,Patrani,23.494865,87.7387383,0.5,
36,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.4,2/19/306/250037/0014744/001,Konar pukur,23.4916066,87.7484417,0.7,3
835,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/001,chobi pukur,23.4961093,87.7402535,0.08,3
17,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.4,2/19/306/250037/0014744/002,Baganpara pukur,23.494307,87.7469546,0.533,3
22,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.4,2/19/306/250037/0014744/003,Netaji palli pukur,23.490832,87.7478437,0.4,3
20,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.4,2/19/306/250037/0014744/004,SUKANTA PALLY DOBA,23.4890175,87.7488897,0.13,2
23,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.4,2/19/306/250037/0014744/005,guskara municipality pond,23.4824016,87.7499674,0.66,5
18,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.5,2/19/306/250037/0014745/001,ali garh,23.4832214,87.7480733,0.06,3
19,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.7,2/19/306/250037/0014747/001,kno pukur,23.490385,87.7373595,0.66,4
26,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/002,Matas pukur,23.4962016,87.7367872,1.32,4
27,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/003,Mitro pukur,23.4953443,87.736864,0.05,5
24,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/004,thakur pukur,23.4962807,87.7404038,2.4,5
25,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/005,KALA ROY GORE,23.4951125,87.7388253,0.066,2
21,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/006,MAJH PUKUR,23.4963853,87.7382718,1.3,5
29,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/007,Barsha pukur,23.4957325,87.7394833,0.06,3
28,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/008,CHATTERJEE GORE,23.4961215,87.7402589,0.08,3
30,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/009,BANKI ,23.4979198,87.7416903,1.6,5
31,Purba Bardhaman,,Guskara,Guskara (M) - Ward No.3,2/19/306/250037/0014743/010,BORIK PUKUR,23.4955956,87.7368028,0.39,3
