serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
11459,Purulia,Jhalda-Ii,Chatrani,PURANO BAND ,23.380277777777778,85.99583333333334
1671,Purulia,Kashipur,Rugri,,23.47083333333333,86.67444444444445
4254,Purulia,Santuri,Benagaria,PURATON  BUNDH,23.526944444444442,86.8125
19547,Purulia,Purulia-Ii,Loharsol,LOHARSHOL DAM,23.30666666666667,86.4
19561,Purulia,Raghunathpur-Ii,Madhutati Alias Mautor,JADUR POND,23.586388888888887,86.57888888888888
26500,Purulia,Purulia-I,Balia Pathar,BARA BANDH,23.27027777777778,86.39138889
19058,Purulia,Purulia-I,Balia Pathar,LIYA GORIA,23.267777777777777,86.39333333333335
19314,Purulia,Purulia-I,Balia Pathar,DHUBKU GORIA,23.27138888888889,86.39166666666668
19559,Purulia,Jhalda-Ii,Hirapur,HARIFEKA BANDH,23.37138888888889,86.05055555555555
35755,Purulia,Jhalda-Ii,Hirapur,MAHATOBANDH,23.371111111111112,86.05027777777778
32092,Purulia,Jhalda-Ii,Mahuda,BIJAMGORIA,23.379722222222224,86.03666666666666
31315,Purulia,Jhalda-Ii,Mahuda,JOLHA HIR,23.37777777777778,86.03972222222222
19059,Purulia,Jhalda-I,Chhota Phuhara,ASAN BUNDH,23.28638888888889,85.92722222222223
1529,Purulia,Kashipur,Rugri,MAGAR GORA,23.518055555555556,86.69250000000001
12730,Purulia,Kashipur,Upar Panchmahuli,kanai bandh,23.498333333333335,86.77861111
1273,Purulia,Kashipur,Rugri, TALTALA BANDH,23.518055555555556,86.69222222222223
14634,Purulia,Kashipur,Rugri,DHIRU GORA,23.46972222222222,86.67416666666666
1492,Purulia,Kashipur,Upar Panchmahuli,Hango bandh,23.505277777777778,86.78222222222222
16207,Purulia,Kashipur,Rugri,SAHAR BANDH ,23.477777777777778,86.67333333333333
14067,Purulia,Kashipur,Rugri,SEYER BANDH,23.47472222222222,86.67555555555556
12731,Purulia,Kashipur,Upar Panchmahuli,KUL HIRA BANDH,23.50638888888889,86.78472222222221
12728,Purulia,Kashipur,Upar Panchmahuli,RENGO BANDH,23.506944444444443,86.77861111
1241,Purulia,Kashipur,Upar Panchmahuli,SARAK BANDHAK,23.50722222222222,86.77777777777777
980,Purulia,Kashipur,Upar Panchmahuli,ANU BANDH,23.5025,86.78027777777778
14635,Purulia,Kashipur,Rugri,SAILENDRANATH RAY BANDH,23.518055555555556,86.69250000000001
27232,Purulia,Raghunathpur-Ii,Charanbandh,CHARANBUNDH,23.591388888888886,86.625
21893,Purulia,Santuri,Ghutgarya,GHUTGARIA SAYER,23.52111111111111,86.80527777777777
21894,Purulia,Santuri,Ghutgarya,DULALI GARIA,23.520555555555553,86.80861111
19570,Purulia,Purulia-Ii,Ratanpur,NO,23.422222222222224,86.35444444444444
19353,Purulia,Purulia-Ii,Ratanpur,NO,23.418333333333333,86.35361111
19512,Purulia,Purulia-Ii,Ratanpur,NO,23.41611111111111,86.35444444444444
19513,Purulia,Purulia-Ii,Ratanpur,NA,23.415277777777778,86.35305555555556
14327,Purulia,Purulia-I,Amandi,JOLA BANDH,23.393333333333334,86.27916666666667
3390,Purulia,Purulia-I,Amandi,BAMON GORIA,23.39388888888889,86.27472222222222
10851,Purulia,Manbazar-I,Chak Manushtupa,VANGHA BANDH,23.033055555555556,86.67972222222222
19359,Purulia,Jaipur,Kalyanpur,JEGTU BANDH,23.501666666666665,86.12111111
14329,Purulia,Purulia-I,Amandi,TAPAN PANDEY  BANDH,23.39388888888889,86.27472222222222
1535,Purulia,Purulia-I,Amandi,NO NAME,23.395833333333332,86.27166666666666
19351,Purulia,Jaipur,Kalyanpur,,23.50027777777778,86.11222222222221
19064,Purulia,Jaipur,Singhagara,SINGGHAGRA WDS ,23.500833333333333,86.10944444444443
1244,Purulia,Purulia-Ii,Mahudal Bazar,DUYAR BANDH,23.41861111111111,86.34583333333333
16701,Purulia,Santuri,Dulalgora,DULALGORA NATUN BANDH,23.51,86.81388888888888
14596,Purulia,Santuri,Baghaband,DHAI BANDH,23.518055555555556,86.815
4194,Purulia,Santuri,Baghaband,MAJHI BANDH,23.518055555555556,86.815
614,Purulia,Santuri,Baghaband,LAXMI SAYER ,23.51388888888889,86.82055555555556
1608,Purulia,Manbazar-I,Bara Jagannathpur,DHARA BHAND,23.049166666666668,86.66333333333334
19579,Purulia,Manbazar-I,Anandapur,SAHAR,23.03611111111111,86.67416666666666
15672,Purulia,Manbazar-I,Bhramarpur,NOTUN POKUR,23.039722222222224,86.68111111111112
1614,Purulia,Manbazar-I,Bhramarpur,MAJHI BANDH,23.040833333333335,86.68027777777779
1357,Purulia,Manbazar-I,Bhramarpur,JOBUNA,23.041666666666668,86.68166666666667
23409,Purulia,Manbazar-I,Anandapur,CHOTO POKUR,23.040000000000003,86.67333333333333
19603,Purulia,Manbazar-I,Anandapur,BORO POKUR,23.040277777777778,86.66638888888889
32851,Purulia,Manbazar-I,Anandapur,LEDHA BANDH,23.03805555555556,86.67611111111111
1422,Purulia,Kashipur,Rugri,MAJHI GORA,23.471666666666664,86.67611111111111
14071,Purulia,Kashipur,Rugri,NEAR NEPAL BAURI GORA,23.469166666666666,86.67694444444444
4393,Purulia,Santuri,Latulbad,MAJHIR BANDH,23.52138888888889,86.78916666666666
16929,Purulia,Manbazar-I,Deshyardi,MOIRA BANDH,22.994444444444447,86.69472222222223
1311,Purulia,Manbazar-I,Deshyardi,PURATON DODHA,22.995,86.69138889
1196,Purulia,Manbazar-I,Deshyardi,SUDANSUR BANDH,22.994722222222222,86.69166666666668
34520,Purulia,Hura,Chitra,KOILAR BANDH,23.345555555555553,86.52805555555555
23848,Purulia,Hura,Chitra,JHOLLA BAND,23.33888888888889,86.52361111111111
19541,Purulia,Hura,Chitra,Boula ,23.343055555555555,86.525
19607,Purulia,Hura,Chitra,Solgoria Daldali,23.34472222222222,86.52833333333334
19625,Purulia,Hura,Chitra,Samir Bandh,23.347777777777775,86.52805555555555
19335,Purulia,Hura,Chitra,Borobandh,23.347777777777775,86.52777777777777
19574,Purulia,Hura,Chitra,Dhadka bandh,23.347777777777775,86.52805555555555
1289,Purulia,Hura,Chanchhipathar,Gram bandh,23.245,86.75138888888888
18845,Purulia,Hura,Chitra,baner Bandh,23.325833333333332,86.51166666666667
19380,Purulia,Hura,Chitra,Sisirgorah,23.32611111111111,86.51722222222222
12729,Purulia,Hura,Chanchhipathar,Dolodi  nich bandh,23.246111111111112,86.75444444444445
930,Purulia,Manbazar-I,Deshyardi,BARINAMO DOBA,22.996111111111112,86.69277777777778
941,Purulia,Manbazar-I,Deshyardi,MADHU GHARA,22.99888888888889,86.69305555555556
975,Purulia,Manbazar-I,Deshyardi,NAMO GHARA,23,86.69305555555556
16933,Purulia,Manbazar-I,Deshyardi,ASUR GORIYA,22.999722222222225,86.69916666666667
14069,Purulia,Santuri,Murulia (Ct),MUKUNDA,23.61277777777778,86.83861111
19400,Purulia,Purulia-I,Simulbera,KHYAPI BANDH,23.354166666666668,86.25166666666667
27388,Purulia,Purulia-I,Simulbera,DHABA BANDH,23.35888888888889,86.25305555555556
19035,Purulia,Purulia-I,Simulbera,DHABA GHARIYA,23.35888888888889,86.25305555555556
510,Purulia,Kashipur,Maysaradi,Asura goria,23.483888888888888,86.61777777777777
1012,Purulia,Kashipur,Maysaradi,Bhutir goria,23.483333333333334,86.61694444444444
16456,Purulia,Manbazar-Ii,Phulbera,SARKARIBAND,22.92361111111111,86.62861111
1556,Purulia,Manbazar-Ii,Phulbera,,22.92138888888889,86.63
35669,Purulia,Purulia-Ii,Ketika (P) (New J.L.-5),SADAR BANDH NEAR OLD MANBAZRA ROAD,23.309166666666666,86.38444444444445
35671,Purulia,Purulia-Ii,Dabar,NAMO BANDH,23.29388888888889,86.38638889
35668,Purulia,Purulia-Ii,Dabar,MADHYA BANDH,23.28111111111111,86.35694444444444
28075,Purulia,Purulia-Ii,Dabar,BAGAN BANDH ,23.297222222222224,86.38555555555556
19412,Purulia,Purulia-Ii,Dabar,GORAI HAPA,23.296111111111113,86.38666666666667
19414,Purulia,Purulia-Ii,Balarampur,JAMUNA BANDH,23.296944444444446,86.38861111111112
19577,Purulia,Purulia-Ii,Balarampur,SUDHAM BANDH,23.288333333333334,86.39388889
19415,Purulia,Purulia-Ii,Balarampur,KHZURA BANDH,23.297222222222224,86.39277777777778
19417,Purulia,Purulia-Ii,Balarampur,KUIRYA GORIA,23.288333333333334,86.39388889
20883,Purulia,Purulia-Ii,Balarampur,RATA BANDH,23.288333333333334,86.39388889
28683,Purulia,Purulia-Ii,Balarampur,GUSHIA BANDH ,23.288333333333334,86.39388889
32091,Purulia,Purulia-Ii,Balarampur,META BANDH,23.297777777777778,86.39055555555557
20875,Purulia,Purulia-Ii,Balarampur,KAMAR GORIA ,23.29416666666667,86.39250000000001
19585,Purulia,Purulia-Ii,Loharsol,BHAGBAN DAA BANDH NEAR JNV SCHOOL ,23.31416666666667,86.38444444444445
1531,Purulia,Jhalda-Ii,Bararola,TILKA BANDH,23.449444444444445,86.02527777777777
1263,Purulia,Jhalda-Ii,Bararola,KOLIRBANDH,23.447777777777777,86.035
1358,Purulia,Jhalda-Ii,Bararola,GARA BANDH,23.446666666666665,86.03805555555556
13745,Purulia,Jhalda-Ii,Bararola,MUCHIYAN BANDH,23.448333333333334,86.03472222222221
13746,Purulia,Jhalda-Ii,Bararola,ABANI BANDH,23.447777777777777,86.03472222222221
1533,Purulia,Jhalda-Ii,Bararola,SRISHTI BANDH,23.449444444444445,86.03111111111112
1547,Purulia,Jhalda-Ii,Bararola,SARKARI BANDH,23.450277777777778,86.02638888888889
1293,Purulia,Jhalda-Ii,Bararola,  KANKABANDH,23.455277777777777,86.03472222222221
1209,Purulia,Jhalda-Ii,Bararola,JAM BANDH HETDIH,23.450833333333332,86.035
35314,Purulia,Raghunathpur-Ii,Charanbandh,CHARANBUDH WDS,23.58888888888889,86.62638888888888
27233,Purulia,Raghunathpur-Ii,Charanbandh,UPAR BUNDH,23.583888888888886,86.62861111
8935,Purulia,Purulia-I,Uchali,KHAYARI GORIA ,23.285,86.3625
