serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
10440,South 24 Parganas,Sagar,Mahendraganj,POND OF MAHENDRAGANJ PRIMARY HEALTH CENTRE ,21.77805556,88.13222222
1016,South 24 Parganas,Sonarpur,Bhabanipur,xyz,22.42333333,88.43722222
10144,South 24 Parganas,Sagar,Dhaspara,,21.79611111,88.13
778,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),Asishmondal,22.42333333,88.45388889
1009,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),maszid pukur,22.42222222,88.45472222
7618,South 24 Parganas,Sonarpur,Bhabanipur,Dulal mondals pond,22.42277778,88.44388889
17600,South 24 Parganas,Sonarpur,Gangajora,SUBHAL MONDAL,22.46777778,88.4425
10118,South 24 Parganas,Sagar,Ghoramara,GHORAMARA PANCHAYAT POND,21.91583333,88.13166667
10453,South 24 Parganas,Sagar,Ghoramara,PANCHAYAT POND  I,21.91611111,88.13138889
7108,South 24 Parganas,Sonarpur,Jagadishpur,JAGADISHPUR POND NO ,22.4375,88.45583333
8640,South 24 Parganas,Sonarpur,Jagadishpur,JAGADISHPUR HOUSING COOPERATIVE SOCIETY,22.43666667,88.45694444
7105,South 24 Parganas,Sonarpur,Jagadishpur,JAGADISHPUR COOPERATIVE SOCIETY,22.43611111,88.45694444
7106,South 24 Parganas,Sonarpur,Jagadishpur,POND NO ,22.43916667,88.45888889
7104,South 24 Parganas,Sonarpur,Jagadishpur,POND NO ,22.44166667,88.46138889
7107,South 24 Parganas,Sonarpur,Jagadishpur,NASKAR POND,22.44361111,88.45444444
982,South 24 Parganas,Baruipur,Atghara,,22.36055556,88.4575
1011,South 24 Parganas,Baruipur,Atghara,frot of grocery shop,22.36333333,88.46305556
746,South 24 Parganas,Sonarpur,Bhabanipur,gagatbondhu asram,22.42166667,88.44333333
751,South 24 Parganas,Sonarpur,Bhabanipur,mondals pond,22.42166667,88.44333333
1024,South 24 Parganas,Baruipur,Atghara,NA,22.36444444,88.46388889
827,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),charak tala pukur,22.42,88.44972222
1031,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),malipukur1,22.42,88.45
1001,South 24 Parganas,Baruipur,Atghara,swapan Naskar,22.36444444,88.4625
896,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),malipukur,22.42,88.45
10561,South 24 Parganas,Jaynagar-I,Mukundapur,,22.21861111,88.43555556
10336,South 24 Parganas,Jaynagar-I,Mukundapur,,22.21861111,88.43611111
14853,South 24 Parganas,Jaynagar-I,Mukundapur,,22.21861111,88.43611111
14852,South 24 Parganas,Jaynagar-I,Mukundapur,,22.21861111,88.43666667
10335,South 24 Parganas,Jaynagar-I,Mukundapur,,22.21861111,88.43611111
14846,South 24 Parganas,Jaynagar-I,Mukundapur,,22.21861111,88.43666667
825,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),Kali mondir pond,22.42083333,88.45277778
895,South 24 Parganas,Baruipur,Atghara,bhombal house ago,22.36666667,88.46416667
919,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),Nokul mondals pond,22.42138889,88.4525
845,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),Gagibaba pond,22.42138889,88.45361111
7252,South 24 Parganas,Sonarpur,Jagadishpur,POND NO ,22.44083333,88.45222222
847,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),NA,22.42305556,88.45388889
1035,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),shib mondirpond,22.42277778,88.4525
970,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),kusum kuthir,22.42222222,88.45444444
1000,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),NA,22.42888889,88.46027778
1017,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),bijay krishna,22.42638889,88.45861111
987,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),sitala tala,22.42583333,88.4575
1021,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),swapna nir,22.42472222,88.4575
998,South 24 Parganas,Sonarpur,Bidyadharpur (Ct),NA,22.41555556,88.44638889
7185,South 24 Parganas,Sonarpur,Mathurapur,MOTHURAPUR FP SCHOOL,22.42722222,88.44583333
1022,South 24 Parganas,Baruipur,Atghara,front of mondal para transforma,22.36388889,88.46166667
7183,South 24 Parganas,Sonarpur,Mathurapur,TALTALA,22.42722222,88.44638889
1003,South 24 Parganas,Baruipur,Atghara,NA,22.36444444,88.46166667
1046,South 24 Parganas,Baruipur,Atghara,pradip mondal,22.36472222,88.46166667
1006,South 24 Parganas,Baruipur,Atghara,kadir naskar,22.36472222,88.46444444
1013,South 24 Parganas,Baruipur,Atghara,pachu mondal,22.3675,88.465
993,South 24 Parganas,Baruipur,Atghara,GANESH NASKAR,22.3675,88.465
10566,South 24 Parganas,Baruipur,Phuldubi,Nitai Halder,22.36027778,88.48222222
800,South 24 Parganas,Baruipur,Atghara,near kalinagor,22.37527778,88.46527778
7056,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45833333,88.45333333
7053,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45472222,88.45388889
7054,South 24 Parganas,Sonarpur,Dihi,POND NO  DIHI,22.45472222,88.45388889
7060,South 24 Parganas,Sonarpur,Chandpur,POND OF BADAL NASKAR,22.44888889,88.44611111
7051,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45611111,88.45416667
7061,South 24 Parganas,Sonarpur,Chandpur,MONDAL PUKUR,22.45277778,88.45194444
683,South 24 Parganas,Sonarpur,Chandpur,POND OF ARABINDA SARDAR,22.45305556,88.45194444
7062,South 24 Parganas,Sonarpur,Chandpur,SARDAR PARA PUKUR,22.45305556,88.45166667
1018,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45611111,88.45416667
7048,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45666667,88.45444444
8639,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45166667,88.45083333
7052,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45527778,88.45916667
7050,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.46583333,88.45138889
1002,South 24 Parganas,Sonarpur,Dihi,Pond no 25,22.45833333,88.45666667
684,South 24 Parganas,Sonarpur,Dihi,Pond no 23,22.45027778,88.45583333
7049,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45972222,88.45305556
7055,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45972222,88.45305556
7043,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45972222,88.45333333
696,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.46,88.4525
7037,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.46027778,88.4525
7036,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.46055556,88.45222222
857,South 24 Parganas,Sonarpur,Dihi,Pond no 20 ,22.46111111,88.4525
7047,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.46166667,88.45277778
7046,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.46194444,88.45305556
7044,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.46194444,88.45305556
7045,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.46111111,88.44916667
875,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.46111111,88.44916667
1014,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.45888889,88.45222222
7042,South 24 Parganas,Sonarpur,Dihi,POND NO  ,22.45888889,88.45222222
7035,South 24 Parganas,Sonarpur,Dihi,POND NO ,22.47361111,88.44888889
17599,South 24 Parganas,Sonarpur,Gangajora,POND NO ,22.46694444,88.44777778
7086,South 24 Parganas,Sonarpur,Gopal Pur,POND OF SURAJ MONDAL,22.44305556,88.46194444
7215,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44388889,88.46611111
7231,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44416667,88.46611111
7228,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND OF BARUN MONDAL,22.44555556,88.46666667
7216,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO  ,22.44833333,88.46555556
1015,South 24 Parganas,Sonarpur,Radhanagar (Ct),Pond no 15,22.44611111,88.4675
7217,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44722222,88.46472222
7227,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44694444,88.46166667
1019,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44416667,88.46583333
7219,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND OF NITAI MONDAL,22.44472222,88.46611111
7058,South 24 Parganas,Sonarpur,Chandpur,KALIKAPUR PUKUR,22.44916667,88.455
1023,South 24 Parganas,Sonarpur,Radhanagar (Ct),Pond no 60,22.44777778,88.45527778
7226,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44611111,88.46666667
882,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44666667,88.46638889
7059,South 24 Parganas,Sonarpur,Chandpur,POND NO ,22.44916667,88.45472222
7225,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44611111,88.46777778
7224,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44638889,88.46611111
7218,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44611111,88.46805556
7220,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44611111,88.46833333
7223,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND OF RABIN MONDAL,22.44611111,88.46833333
1020,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44611111,88.46972222
8637,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.45277778,88.45694444
7222,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND OF RATAN GANDI,22.44638889,88.46611111
7221,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND OF BABUSHONA TARAFDAR,22.44611111,88.46972222
913,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44583333,88.46638889
795,South 24 Parganas,Sonarpur,Radhanagar (Ct),Pond of palan bain,22.44638889,88.465
7210,South 24 Parganas,Sonarpur,Radhanagar (Ct),MANDIR PUKUR,22.44666667,88.46611111
8638,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.45111111,88.45666667
7204,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.45861111,88.46027778
7207,South 24 Parganas,Sonarpur,Radhanagar (Ct),POND NO ,22.44722222,88.46472222
