serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
14949,Uttar Dinajpur,Kaliaganj,Bochadanga,BOCHADANGA POND,25.58916667,88.34861111
13895,Uttar Dinajpur,Kaliaganj,Anaun,RATAN ROY POND,25.60111111,88.32111111
8793,Uttar Dinajpur,Kaliaganj,Balas,SOSAN POND ,25.65888889,88.36944444
9164,Uttar Dinajpur,Kaliaganj,Balas,KAJAL POND,25.65916667,88.36861111
16150,Uttar Dinajpur,Kaliaganj,Anaun,BHOPAL CHANDRA SARKAR,25.59916667,88.31138889
17410,Uttar Dinajpur,Kaliaganj,Anaun,BIPUL SARKAR POND,25.59916667,88.31138889
9097,Uttar Dinajpur,Kaliaganj,Anaun,GOPAL SARKAR POND,25.60777778,88.31777778
957,Uttar Dinajpur,Kaliaganj,Dakshin Krishnapur,JASHODA SARKAR,25.60833333,88.31638889
9176,Uttar Dinajpur,Kaliaganj,Tarangapur,SHAMERS SARKAR,25.60805556,88.31666667
9038,Uttar Dinajpur,Kaliaganj,Tarangapur,SOMARU SARKAR,25.60805556,88.31638889
3914,Uttar Dinajpur,Raiganj,Maraikura,MARAIKURA POUND,25.58361111,88.12333333
5064,Uttar Dinajpur,Kaliaganj,Dasai,SHUKI DEBSHARMA POND,25.67638889,88.33555556
958,Uttar Dinajpur,Kaliaganj,Dasai,HARENDRA NATH SARKAR PONDS,25.67583333,88.33666667
956,Uttar Dinajpur,Kaliaganj,Dasai,GAGAN CH DEBSHARMA PONDS,25.67722222,88.33888889
864,Uttar Dinajpur,Kaliaganj,Dasai,HARENDRA NATH SARKAR,25.67583333,88.33638889
15261,Uttar Dinajpur,Kaliaganj,Hariharpur (P),HARIHARPUR ,25.62027778,88.345
9159,Uttar Dinajpur,Kaliaganj,Bharkul,SITAHAR,25.69916667,88.33638889
9162,Uttar Dinajpur,Kaliaganj,Bharkul,BLIA PUKUR,25.69444444,88.3325
16123,Uttar Dinajpur,Raiganj,Tenahari,BANKA MORE BRIDGE,25.58527778,88.10416667
870,Uttar Dinajpur,Raiganj,Maraikura,NIMTOLA MOR,25.57861111,88.12222222
9117,Uttar Dinajpur,Raiganj,Abhor,BHITI ABHOR KULIK ,25.59166667,88.09777778
15839,Uttar Dinajpur,Kaliaganj,Tarangapur,CHANDAN SARKAR,25.61333333,88.30583333
9184,Uttar Dinajpur,Kaliaganj,Tarangapur,TAPAN ROY,25.60722222,88.30305556
17412,Uttar Dinajpur,Kaliaganj,Tarangapur,RAJAN DEBSHARMA,25.60722222,88.30305556
15719,Uttar Dinajpur,Kaliaganj,Tarangapur,SUREN DEBSHARMA,25.61083333,88.30611111
15721,Uttar Dinajpur,Kaliaganj,Tarangapur,SUREN DEBSHARMA,25.61055556,88.30611111
7267,Uttar Dinajpur,Kaliaganj,Dasai,THULSHI JOISOYAL,25.67694444,88.33388889
15722,Uttar Dinajpur,Kaliaganj,Tarangapur,TAPAI SARKAR,25.60722222,88.30305556
9157,Uttar Dinajpur,Kaliaganj,Tarangapur,RATAN BARMAN,25.61583333,88.3225
15720,Uttar Dinajpur,Kaliaganj,Tarangapur,RAKESH SARKAR,25.61083333,88.30722222
9173,Uttar Dinajpur,Kaliaganj,Tarangapur,TAPAN ROY,25.61111111,88.3075
15725,Uttar Dinajpur,Kaliaganj,Tarangapur,BISNU SARKAR,25.61166667,88.31083333
15731,Uttar Dinajpur,Kaliaganj,Tarangapur,SUJAN PAL SARKAR,25.61166667,88.31083333
9099,Uttar Dinajpur,Kaliaganj,Tarangapur,RATAN SARKAR,25.61222222,88.31138889
15841,Uttar Dinajpur,Kaliaganj,Tarangapur,TAPOSH SARKAR,25.61194444,88.31083333
8667,Uttar Dinajpur,Kaliaganj,Tarangapur,BHAVESH CHANDRA SARKAR,25.61194444,88.31111111
9189,Uttar Dinajpur,Kaliaganj,Tarangapur,PRATAP NATH SARKAR,25.62,88.31138889
9175,Uttar Dinajpur,Kaliaganj,Tarangapur,SUSEN BARMAN,25.62583333,88.35416667
16279,Uttar Dinajpur,Kaliaganj,Tarangapur,JHARU BARMAN,25.61138889,88.31027778
15738,Uttar Dinajpur,Kaliaganj,Tarangapur,BHOBESH ROY,25.61055556,88.31083333
15840,Uttar Dinajpur,Kaliaganj,Tarangapur,SURESH SARKAR,25.61027778,88.31111111
9177,Uttar Dinajpur,Kaliaganj,Tarangapur,PULIN SARKAR,25.61027778,88.31111111
15748,Uttar Dinajpur,Kaliaganj,Tarangapur,RAVIN SARKAR,25.61138889,88.3175
12469,Uttar Dinajpur,Kaliaganj,Tarangapur,GOPAL SARKAR,25.61944444,88.31055556
9183,Uttar Dinajpur,Kaliaganj,Tarangapur,BHASTU ROY,25.61583333,88.3225
9135,Uttar Dinajpur,Kaliaganj,Tarangapur,SUBASH ROY,25.62,88.31138889
17411,Uttar Dinajpur,Kaliaganj,Tarangapur,VALU ROY POND,25.60861111,88.31222222
15752,Uttar Dinajpur,Kaliaganj,Tarangapur,SAGAR DAS POND,25.61055556,88.32138889
15754,Uttar Dinajpur,Kaliaganj,Tarangapur,SANDIP SARKAR POND,25.6075,88.32055556
15755,Uttar Dinajpur,Kaliaganj,Tarangapur,GOURGUPTA SARKAR POND,25.60944444,88.31777778
16121,Uttar Dinajpur,Raiganj,Tenahari,BANKA MOR BRIDGE ,25.58611111,88.10166667
9167,Uttar Dinajpur,Raiganj,Abhor,ABHOR KULIK BRIDGE ,25.59138889,88.09777778
7268,Uttar Dinajpur,Kaliaganj,Dasai,BOIKUNTHA SARKAR POND,25.67027778,88.32722222
9163,Uttar Dinajpur,Raiganj,Abhor,KULIK BRIDGE,25.59222222,88.09805556
9169,Uttar Dinajpur,Raiganj,Abhor,NEAR BY SHIV MANDIR,25.59055556,88.09305556
930,Uttar Dinajpur,Itahar,Mirzatpur,BALIPARA POND,25.46166667,88.17305556
9170,Uttar Dinajpur,Raiganj,Chhatrapur,POND NEAR CHATTRAPUR SHASAN,25.63916667,88.14694444
15284,Uttar Dinajpur,Raiganj,Chhatrapur,POND NEAR CHHATRAPUR SASHAN,25.63722222,88.14666667
9078,Uttar Dinajpur,Raiganj,Chhatrapur,POND NEAR CHHATRAPUR SASHAN ,25.6375,88.14666667
9079,Uttar Dinajpur,Raiganj,Chhatrapur,POND NEAR CHHATRAPUR SASHAN ,25.62972222,88.14611111
9067,Uttar Dinajpur,Raiganj,Chhatrapur,POND NEAR CHHATRAPUR SASHAN ,25.635,88.14666667
8453,Uttar Dinajpur,Itahar,Bagbari,KOTHA HAZRA,25.46888889,88.17166667
12087,Uttar Dinajpur,Itahar,Bagbari,LOKESH POND,25.4675,88.17361111
12090,Uttar Dinajpur,Itahar,Bagbari,ALOK POND ,25.4675,88.17722222
12092,Uttar Dinajpur,Itahar,Bagbari,ALOK POND ,25.46694444,88.17805556
13121,Uttar Dinajpur,Itahar,Bagbari,SAHENSHA POND,25.4675,88.17722222
12096,Uttar Dinajpur,Itahar,Bagbari,LALU PAL POND,25.46527778,88.17583333
12188,Uttar Dinajpur,Itahar,Bagbari,TAPAS PAL POND,25.46527778,88.17638889
17144,Uttar Dinajpur,Itahar,Bagbari,GOPAL PAL POND,25.46472222,88.17694444
13119,Uttar Dinajpur,Itahar,Bagbari,MANIK PAL POND,25.46805556,88.17305556
17419,Uttar Dinajpur,Itahar,Bagbari,BISHWANATH PAL POND,25.46555556,88.17722222
13118,Uttar Dinajpur,Itahar,Bagbari,HUKUMAR PAL POND,25.46583333,88.17333333
9194,Uttar Dinajpur,Raiganj,Karnajora,POND,25.659685,88.1484226
5782,Uttar Dinajpur,Kaliaganj,Chak Lakshmi,CHITROMOHAN ROY POND,25.64027778,88.38138889
9005,Uttar Dinajpur,Kaliaganj,Bharkul,NARAN CH ROY  POND,25.69416667,88.33611111
9036,Uttar Dinajpur,Kaliaganj,Gotgaon,MOKSED HOUSE,25.64638889,88.44305556
15520,Uttar Dinajpur,Kaliaganj,Gotgaon,NEAR MASJID,25.64555556,88.44388889
15855,Uttar Dinajpur,Kaliaganj,Gotgaon,NATUN DIGHI,25.64611111,88.44444444
13210,Uttar Dinajpur,Itahar,Bankur,MAHENDRA NATH BARMAN POND,25.47638889,88.16472222
12194,Uttar Dinajpur,Itahar,Bankur,ZILA PARISHAD POND,25.48055556,88.17444444
15521,Uttar Dinajpur,Kaliaganj,Gotgaon,NEAR TREE,25.64666667,88.44611111
15513,Uttar Dinajpur,Kaliaganj,Balahar,BACCHU POND,25.65,88.44472222
15515,Uttar Dinajpur,Kaliaganj,Balahar,VAISTA MD,25.64944444,88.44416667
9179,Uttar Dinajpur,Kaliaganj,Radhikapur,NEAR MADRASHA,25.64694444,88.44305556
12195,Uttar Dinajpur,Itahar,Simuldanga,KANCHAN ,25.47305556,88.25583333
8873,Uttar Dinajpur,Itahar,Simuldanga,JIYAKHANDI,25.475,88.25416667
12196,Uttar Dinajpur,Itahar,Simuldanga,ARUN MANDALS POND,25.47444444,88.25333333
9044,Uttar Dinajpur,Itahar,Simuldanga,SANKAR MANDAL POND,25.47555556,88.25055556
12197,Uttar Dinajpur,Itahar,Simuldanga,MATLA MURMU,25.48111111,88.25083333
9180,Uttar Dinajpur,Itahar,Kokna,MINIGHUNDA,25.46194444,88.24305556
12198,Uttar Dinajpur,Itahar,Kokna,VAKTIHAR,25.46194444,88.24305556
12420,Uttar Dinajpur,Kaliaganj,Radhikapur,ANISUR PONDS,25.64333333,88.44388889
16205,Uttar Dinajpur,Kaliaganj,Balahar,NARU DAS POND,25.64972222,88.44194444
15524,Uttar Dinajpur,Kaliaganj,Radhikapur,RADHIKAPUR POND,25.64166667,88.44194444
6604,Uttar Dinajpur,Kaliaganj,Suknandighi,RADHA KRISHNA MANDIR,25.62972222,88.445
908,Uttar Dinajpur,Kaliaganj,Suknandighi,RADHA KRISHNA MANDIR,25.62972222,88.445
6603,Uttar Dinajpur,Kaliaganj,Kaluhar,TANKO,25.63805556,88.44972222
6602,Uttar Dinajpur,Kaliaganj,Kaluhar,MANDIR,25.64,88.44527778
933,Uttar Dinajpur,Kaliaganj,Kaluhar,CHITU,25.64027778,88.44388889
15525,Uttar Dinajpur,Kaliaganj,Radhikapur,MOKBUL POND,25.63944444,88.44333333
15523,Uttar Dinajpur,Kaliaganj,Radhikapur,SANJIB DAS POND,25.64138889,88.4425
7591,Uttar Dinajpur,Goalpokhar II,Laguan,NEAR WATER TANK ,25.92305556,87.91333333
5454,Uttar Dinajpur,Goalpokhar II,Laguan,NEAR WATER TANK,25.9225,87.91305556
838,Uttar Dinajpur,Goalpokhar II,Laguan,NEAR MASJID ,25.92555556,87.91444444
5449,Uttar Dinajpur,Goalpokhar II,Laguan,NEAR FP SCHOOL ,25.92666667,87.91472222
927,Uttar Dinajpur,Goalpokhar II,Laguan,BESIDE MASJID,25.92888889,87.915
932,Uttar Dinajpur,Goalpokhar II,Laguan,LAGUA HAT,25.92944444,87.91888889
15667,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.96305556,87.99277778
16950,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.96305556,87.99361111
17180,Uttar Dinajpur,Goalpokhar II,Bajiaur,SHIRAL PUKUR,25.9625,87.99833333
13988,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.96777778,88.00083333
9160,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.95777778,87.99916667
13987,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.95777778,87.99888889
9165,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.95638889,88.00111111
13989,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.95638889,88.00138889
9166,Uttar Dinajpur,Goalpokhar II,Bajiaur,BORPHOKRA,25.95861111,88.00055556
15668,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.96,88.00055556
13990,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.96222222,87.9975
15666,Uttar Dinajpur,Goalpokhar II,Bajiaur,TULI PUKUR,25.95333333,88.00138889
13992,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.95611111,88.00083333
13991,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.95666667,88.00055556
16975,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.95611111,88.00055556
13986,Uttar Dinajpur,Goalpokhar II,Bajiaur,,25.9675,87.99444444
9080,Uttar Dinajpur,Goalpokhar II,Bajiaur,BIKRAMPOKUR,25.96861111,87.99361111
6922,Uttar Dinajpur,Goalpokhar II,Bidyanandapur,,25.96666667,87.99472222
9181,Uttar Dinajpur,Goalpokhar II,Bajiaur,SHASANGHAT MANDIR,25.95555556,87.98638889
934,Uttar Dinajpur,Goalpokhar II,Bidyanandapur,HINDU PUKUR,25.94527778,87.97972222
6610,Uttar Dinajpur,Kaliaganj,Uttar Krishnapur,RAMJAN ALI POND,25.655,88.43583333
